dataset,date,day_of_week,weekday_weekend,holiday_status,activity_count,notes
synthetic_raw,2025-01-23,Thursday,weekday,UNKNOWN,41,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-24,Friday,weekday,UNKNOWN,48,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-25,Saturday,weekend,UNKNOWN,63,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-26,Sunday,weekend,UNKNOWN,18,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-27,Monday,weekday,UNKNOWN,52,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-28,Tuesday,weekday,UNKNOWN,16,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-29,Wednesday,weekday,UNKNOWN,34,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-30,Thursday,weekday,UNKNOWN,34,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-31,Friday,weekday,UNKNOWN,30,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-01,Saturday,weekend,UNKNOWN,67,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-02,Sunday,weekend,UNKNOWN,24,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-03,Monday,weekday,UNKNOWN,36,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-04,Tuesday,weekday,UNKNOWN,46,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-05,Wednesday,weekday,UNKNOWN,31,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-06,Thursday,weekday,UNKNOWN,35,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-07,Friday,weekday,UNKNOWN,43,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-08,Saturday,weekend,UNKNOWN,36,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-09,Sunday,weekend,UNKNOWN,64,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-10,Monday,weekday,UNKNOWN,60,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-11,Tuesday,weekday,UNKNOWN,28,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-12,Wednesday,weekday,UNKNOWN,49,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-13,Thursday,weekday,UNKNOWN,59,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-14,Friday,weekday,UNKNOWN,50,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-15,Saturday,weekend,UNKNOWN,44,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-16,Sunday,weekend,UNKNOWN,40,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-17,Monday,weekday,UNKNOWN,48,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-18,Tuesday,weekday,UNKNOWN,53,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-19,Wednesday,weekday,UNKNOWN,32,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-20,Thursday,weekday,UNKNOWN,16,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-21,Friday,weekday,UNKNOWN,44,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-22,Saturday,weekend,UNKNOWN,24,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-23,Sunday,weekend,UNKNOWN,40,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-24,Monday,weekday,UNKNOWN,48,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-25,Tuesday,weekday,UNKNOWN,30,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-26,Wednesday,weekday,UNKNOWN,33,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-27,Thursday,weekday,UNKNOWN,57,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-02-28,Friday,weekday,UNKNOWN,26,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-01,Saturday,weekend,UNKNOWN,30,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-02,Sunday,weekend,UNKNOWN,42,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-03,Monday,weekday,UNKNOWN,41,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-04,Tuesday,weekday,UNKNOWN,68,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-05,Wednesday,weekday,UNKNOWN,23,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-06,Thursday,weekday,UNKNOWN,44,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-07,Friday,weekday,UNKNOWN,16,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-08,Saturday,weekend,UNKNOWN,44,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-09,Sunday,weekend,UNKNOWN,33,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-10,Monday,weekday,UNKNOWN,29,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-11,Tuesday,weekday,UNKNOWN,40,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-12,Wednesday,weekday,UNKNOWN,48,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-13,Thursday,weekday,UNKNOWN,28,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-14,Friday,weekday,UNKNOWN,50,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-15,Saturday,weekend,UNKNOWN,29,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-16,Sunday,weekend,UNKNOWN,38,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-17,Monday,weekday,UNKNOWN,36,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-18,Tuesday,weekday,UNKNOWN,43,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-19,Wednesday,weekday,UNKNOWN,56,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-20,Thursday,weekday,UNKNOWN,32,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-21,Friday,weekday,UNKNOWN,72,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-22,Saturday,weekend,UNKNOWN,80,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-23,Sunday,weekend,UNKNOWN,56,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-24,Monday,weekday,UNKNOWN,45,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-25,Tuesday,weekday,UNKNOWN,39,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-26,Wednesday,weekday,UNKNOWN,38,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-27,Thursday,weekday,UNKNOWN,32,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-28,Friday,weekday,UNKNOWN,48,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-29,Saturday,weekend,UNKNOWN,42,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-30,Sunday,weekend,UNKNOWN,41,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-03-31,Monday,weekday,UNKNOWN,32,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-01,Tuesday,weekday,UNKNOWN,52,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-02,Wednesday,weekday,UNKNOWN,20,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-03,Thursday,weekday,UNKNOWN,58,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-04,Friday,weekday,UNKNOWN,38,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-05,Saturday,weekend,UNKNOWN,28,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-06,Sunday,weekend,UNKNOWN,59,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-07,Monday,weekday,UNKNOWN,36,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-08,Tuesday,weekday,UNKNOWN,46,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-09,Wednesday,weekday,UNKNOWN,59,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-10,Thursday,weekday,UNKNOWN,36,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-11,Friday,weekday,UNKNOWN,30,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-12,Saturday,weekend,UNKNOWN,52,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-13,Sunday,weekend,UNKNOWN,41,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-14,Monday,weekday,UNKNOWN,16,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-15,Tuesday,weekday,UNKNOWN,61,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-16,Wednesday,weekday,UNKNOWN,30,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-17,Thursday,weekday,UNKNOWN,16,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-18,Friday,weekday,UNKNOWN,50,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-19,Saturday,weekend,UNKNOWN,20,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-20,Sunday,weekend,UNKNOWN,38,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-21,Monday,weekday,UNKNOWN,30,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-22,Tuesday,weekday,UNKNOWN,30,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-23,Wednesday,weekday,UNKNOWN,30,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-24,Thursday,weekday,UNKNOWN,42,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-25,Friday,weekday,UNKNOWN,55,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-26,Saturday,weekend,UNKNOWN,24,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-27,Sunday,weekend,UNKNOWN,38,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-28,Monday,weekday,UNKNOWN,33,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-29,Tuesday,weekday,UNKNOWN,46,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-04-30,Wednesday,weekday,UNKNOWN,40,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-01,Thursday,weekday,UNKNOWN,45,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-02,Friday,weekday,UNKNOWN,45,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-03,Saturday,weekend,UNKNOWN,36,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-04,Sunday,weekend,UNKNOWN,32,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-05,Monday,weekday,UNKNOWN,46,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-06,Tuesday,weekday,UNKNOWN,21,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-07,Wednesday,weekday,UNKNOWN,28,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-08,Thursday,weekday,UNKNOWN,58,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-09,Friday,weekday,UNKNOWN,60,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-10,Saturday,weekend,UNKNOWN,32,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-11,Sunday,weekend,UNKNOWN,32,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-12,Monday,weekday,UNKNOWN,28,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-13,Tuesday,weekday,UNKNOWN,46,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-14,Wednesday,weekday,UNKNOWN,24,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-15,Thursday,weekday,UNKNOWN,38,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-16,Friday,weekday,UNKNOWN,38,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-17,Saturday,weekend,UNKNOWN,28,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-18,Sunday,weekend,UNKNOWN,44,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-19,Monday,weekday,UNKNOWN,28,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-20,Tuesday,weekday,UNKNOWN,60,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-21,Wednesday,weekday,UNKNOWN,38,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-22,Thursday,weekday,UNKNOWN,42,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-23,Friday,weekday,UNKNOWN,56,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-24,Saturday,weekend,UNKNOWN,40,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-25,Sunday,weekend,UNKNOWN,66,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-26,Monday,weekday,UNKNOWN,36,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-27,Tuesday,weekday,UNKNOWN,44,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-28,Wednesday,weekday,UNKNOWN,35,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-29,Thursday,weekday,UNKNOWN,40,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-30,Friday,weekday,UNKNOWN,51,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-05-31,Saturday,weekend,UNKNOWN,34,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-01,Sunday,weekend,UNKNOWN,70,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-02,Monday,weekday,UNKNOWN,36,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-03,Tuesday,weekday,UNKNOWN,28,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-04,Wednesday,weekday,UNKNOWN,22,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-05,Thursday,weekday,UNKNOWN,60,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-06,Friday,weekday,UNKNOWN,32,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-07,Saturday,weekend,UNKNOWN,47,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-08,Sunday,weekend,UNKNOWN,24,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-09,Monday,weekday,UNKNOWN,42,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-10,Tuesday,weekday,UNKNOWN,28,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-11,Wednesday,weekday,UNKNOWN,70,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-12,Thursday,weekday,UNKNOWN,28,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-13,Friday,weekday,UNKNOWN,46,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-14,Saturday,weekend,UNKNOWN,32,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-15,Sunday,weekend,UNKNOWN,62,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-16,Monday,weekday,UNKNOWN,60,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-17,Tuesday,weekday,UNKNOWN,32,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-18,Wednesday,weekday,UNKNOWN,50,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-19,Thursday,weekday,UNKNOWN,32,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-20,Friday,weekday,UNKNOWN,61,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-21,Saturday,weekend,UNKNOWN,22,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-22,Sunday,weekend,UNKNOWN,44,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-23,Monday,weekday,UNKNOWN,51,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-24,Tuesday,weekday,UNKNOWN,55,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-25,Wednesday,weekday,UNKNOWN,56,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-26,Thursday,weekday,UNKNOWN,53,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-27,Friday,weekday,UNKNOWN,48,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-28,Saturday,weekend,UNKNOWN,52,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-29,Sunday,weekend,UNKNOWN,25,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-06-30,Monday,weekday,UNKNOWN,44,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-01,Tuesday,weekday,UNKNOWN,33,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-02,Wednesday,weekday,UNKNOWN,38,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-03,Thursday,weekday,UNKNOWN,32,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-04,Friday,weekday,UNKNOWN,40,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-05,Saturday,weekend,UNKNOWN,52,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-06,Sunday,weekend,UNKNOWN,38,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-07,Monday,weekday,UNKNOWN,32,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-08,Tuesday,weekday,UNKNOWN,30,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-09,Wednesday,weekday,UNKNOWN,40,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-10,Thursday,weekday,UNKNOWN,20,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-11,Friday,weekday,UNKNOWN,42,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-12,Saturday,weekend,UNKNOWN,32,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-13,Sunday,weekend,UNKNOWN,70,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-14,Monday,weekday,UNKNOWN,52,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-15,Tuesday,weekday,UNKNOWN,40,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-16,Wednesday,weekday,UNKNOWN,68,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-17,Thursday,weekday,UNKNOWN,48,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-18,Friday,weekday,UNKNOWN,46,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-19,Saturday,weekend,UNKNOWN,29,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-20,Sunday,weekend,UNKNOWN,43,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-21,Monday,weekday,UNKNOWN,46,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-22,Tuesday,weekday,UNKNOWN,36,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-23,Wednesday,weekday,UNKNOWN,67,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-24,Thursday,weekday,UNKNOWN,62,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-25,Friday,weekday,UNKNOWN,61,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-26,Saturday,weekend,UNKNOWN,36,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-27,Sunday,weekend,UNKNOWN,37,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-28,Monday,weekday,UNKNOWN,36,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-29,Tuesday,weekday,UNKNOWN,24,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-30,Wednesday,weekday,UNKNOWN,50,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-07-31,Thursday,weekday,UNKNOWN,51,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-01,Friday,weekday,UNKNOWN,31,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-02,Saturday,weekend,UNKNOWN,28,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-03,Sunday,weekend,UNKNOWN,34,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-04,Monday,weekday,UNKNOWN,36,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-05,Tuesday,weekday,UNKNOWN,20,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-06,Wednesday,weekday,UNKNOWN,50,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-07,Thursday,weekday,UNKNOWN,42,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-08,Friday,weekday,UNKNOWN,60,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-09,Saturday,weekend,UNKNOWN,46,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-10,Sunday,weekend,UNKNOWN,22,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-11,Monday,weekday,UNKNOWN,52,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-12,Tuesday,weekday,UNKNOWN,51,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-13,Wednesday,weekday,UNKNOWN,52,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-14,Thursday,weekday,UNKNOWN,44,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-15,Friday,weekday,UNKNOWN,40,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-16,Saturday,weekend,UNKNOWN,34,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-17,Sunday,weekend,UNKNOWN,29,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-18,Monday,weekday,UNKNOWN,40,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-19,Tuesday,weekday,UNKNOWN,34,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-20,Wednesday,weekday,UNKNOWN,38,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-21,Thursday,weekday,UNKNOWN,30,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-22,Friday,weekday,UNKNOWN,46,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-23,Saturday,weekend,UNKNOWN,44,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-24,Sunday,weekend,UNKNOWN,21,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-25,Monday,weekday,UNKNOWN,30,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-26,Tuesday,weekday,UNKNOWN,58,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-27,Wednesday,weekday,UNKNOWN,36,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-08-28,Thursday,weekday,UNKNOWN,32,sumber daftar tanggal merah tidak ditemukan di repository
