dataset,date,day_of_week,activity_count
synthetic_raw,2025-08-13,Wednesday,52
synthetic_raw,2025-08-14,Thursday,44
synthetic_raw,2025-08-15,Friday,40
synthetic_raw,2025-08-16,Saturday,34
synthetic_raw,2025-08-17,Sunday,29
synthetic_raw,2025-08-18,Monday,40
synthetic_raw,2025-08-19,Tuesday,34
synthetic_raw,2025-08-20,Wednesday,38
synthetic_raw,2025-08-21,Thursday,30
synthetic_raw,2025-08-22,Friday,46
synthetic_raw,2025-08-23,Saturday,44
synthetic_raw,2025-08-24,Sunday,21
synthetic_raw,2025-08-25,Monday,30
synthetic_raw,2025-08-26,Tuesday,58
synthetic_raw,2025-08-27,Wednesday,36
synthetic_raw,2025-08-28,Thursday,32
synthetic_raw,2025-08-29,Friday,58
synthetic_raw,2025-08-30,Saturday,52
synthetic_raw,2025-08-31,Sunday,47
synthetic_raw,2025-09-01,Monday,26
synthetic_raw,2025-09-02,Tuesday,32
synthetic_raw,2025-09-03,Wednesday,52
synthetic_raw,2025-09-04,Thursday,38
synthetic_raw,2025-09-05,Friday,50
synthetic_raw,2025-09-06,Saturday,36
synthetic_raw,2025-09-07,Sunday,53
synthetic_raw,2025-09-08,Monday,56
synthetic_raw,2025-09-09,Tuesday,52
synthetic_raw,2025-09-10,Wednesday,32
synthetic_raw,2025-09-11,Thursday,69
synthetic_raw,2025-09-12,Friday,44
synthetic_raw,2025-09-13,Saturday,28
synthetic_raw,2025-09-14,Sunday,22
synthetic_raw,2025-09-15,Monday,30
synthetic_raw,2025-09-16,Tuesday,41
synthetic_raw,2025-09-17,Wednesday,26
synthetic_raw,2025-09-18,Thursday,28
synthetic_raw,2025-09-19,Friday,44
synthetic_raw,2025-09-20,Saturday,40
synthetic_raw,2025-09-21,Sunday,36
synthetic_raw,2025-09-22,Monday,24
synthetic_raw,2025-09-23,Tuesday,46
synthetic_raw,2025-09-24,Wednesday,40
synthetic_raw,2025-09-25,Thursday,42
synthetic_raw,2025-09-26,Friday,33
synthetic_raw,2025-09-27,Saturday,28
synthetic_raw,2025-09-28,Sunday,31
synthetic_raw,2025-09-29,Monday,64
synthetic_raw,2025-09-30,Tuesday,26
synthetic_raw,2025-10-01,Wednesday,33
synthetic_raw,2025-10-02,Thursday,48
synthetic_raw,2025-10-03,Friday,38
synthetic_raw,2025-10-04,Saturday,73
synthetic_raw,2025-10-05,Sunday,56
synthetic_raw,2025-10-06,Monday,32
synthetic_raw,2025-10-07,Tuesday,30
synthetic_raw,2025-10-08,Wednesday,44
synthetic_raw,2025-10-09,Thursday,90
synthetic_raw,2025-10-10,Friday,46
synthetic_raw,2025-10-11,Saturday,24
synthetic_raw,2025-10-12,Sunday,49
synthetic_raw,2025-10-13,Monday,28
synthetic_raw,2025-10-14,Tuesday,53
synthetic_raw,2025-10-15,Wednesday,43
synthetic_raw,2025-10-16,Thursday,24
synthetic_raw,2025-10-17,Friday,60
synthetic_raw,2025-10-18,Saturday,40
synthetic_raw,2025-10-19,Sunday,52
synthetic_raw,2025-10-20,Monday,44
synthetic_raw,2025-10-21,Tuesday,53
synthetic_raw,2025-10-22,Wednesday,43
synthetic_raw,2025-10-23,Thursday,51
synthetic_raw,2025-10-24,Friday,44
synthetic_raw,2025-10-25,Saturday,62
synthetic_raw,2025-10-26,Sunday,38
synthetic_raw,2025-10-27,Monday,42
synthetic_raw,2025-10-28,Tuesday,20
synthetic_raw,2025-10-29,Wednesday,44
synthetic_raw,2025-10-30,Thursday,24
synthetic_raw,2025-10-31,Friday,48
synthetic_raw,2025-11-01,Saturday,38
synthetic_raw,2025-11-02,Sunday,38
synthetic_raw,2025-11-03,Monday,24
synthetic_raw,2025-11-04,Tuesday,40
synthetic_raw,2025-11-05,Wednesday,49
synthetic_raw,2025-11-06,Thursday,36
synthetic_raw,2025-11-07,Friday,62
synthetic_raw,2025-11-08,Saturday,34
synthetic_raw,2025-11-09,Sunday,36
synthetic_raw,2025-11-10,Monday,49
synthetic_raw,2025-11-11,Tuesday,53
synthetic_raw,2025-11-12,Wednesday,53
synthetic_raw,2025-11-13,Thursday,48
synthetic_raw,2025-11-14,Friday,42
synthetic_raw,2025-11-15,Saturday,36
synthetic_raw,2025-11-16,Sunday,38
synthetic_raw,2025-11-17,Monday,38
synthetic_raw,2025-11-18,Tuesday,20
synthetic_raw,2025-11-19,Wednesday,17
synthetic_raw,2025-11-20,Thursday,35
synthetic_raw,2025-11-21,Friday,44
synthetic_raw,2025-11-22,Saturday,44
synthetic_raw,2025-11-23,Sunday,47
synthetic_raw,2025-11-24,Monday,33
synthetic_raw,2025-11-25,Tuesday,40
synthetic_raw,2025-11-26,Wednesday,14
synthetic_raw,2025-11-27,Thursday,54
synthetic_raw,2025-11-28,Friday,28
synthetic_raw,2025-11-29,Saturday,66
synthetic_raw,2025-11-30,Sunday,42
synthetic_raw,2025-12-01,Monday,46
synthetic_raw,2025-12-02,Tuesday,8
synthetic_raw,2025-12-03,Wednesday,50
synthetic_raw,2025-12-04,Thursday,66
synthetic_raw,2025-12-05,Friday,55
synthetic_raw,2025-12-06,Saturday,16
synthetic_raw,2025-12-07,Sunday,32
synthetic_raw,2025-12-08,Monday,34
synthetic_raw,2025-12-09,Tuesday,36
synthetic_raw,2025-12-10,Wednesday,18
synthetic_raw,2025-12-11,Thursday,38
synthetic_raw,2025-12-12,Friday,40
synthetic_raw,2025-12-13,Saturday,48
synthetic_raw,2025-12-14,Sunday,47
synthetic_raw,2025-12-15,Monday,40
synthetic_raw,2025-12-16,Tuesday,50
synthetic_raw,2025-12-17,Wednesday,46
synthetic_raw,2025-12-18,Thursday,30
synthetic_raw,2025-12-19,Friday,28
synthetic_raw,2025-12-20,Saturday,48
synthetic_raw,2025-12-21,Sunday,35
synthetic_raw,2025-12-22,Monday,24
synthetic_raw,2025-12-23,Tuesday,56
synthetic_raw,2025-12-24,Wednesday,40
synthetic_raw,2025-12-25,Thursday,38
synthetic_raw,2025-12-26,Friday,36
synthetic_raw,2025-12-27,Saturday,36
synthetic_raw,2025-12-28,Sunday,40
synthetic_raw,2025-12-29,Monday,36
synthetic_raw,2025-12-30,Tuesday,40
synthetic_raw,2025-12-31,Wednesday,32
