date,day_of_week,record_count
2025-06-04,Rabu,22
2025-06-05,Kamis,60
2025-06-06,Jumat,32
2025-06-07,Sabtu,47
2025-06-08,Minggu,24
2025-06-09,Senin,42
2025-06-10,Selasa,28
2025-06-11,Rabu,70
2025-06-12,Kamis,28
2025-06-13,Jumat,46
2025-06-14,Sabtu,32
2025-06-15,Minggu,62
2025-06-16,Senin,60
2025-06-17,Selasa,32
2025-06-18,Rabu,50
2025-06-19,Kamis,32
2025-06-20,Jumat,61
2025-06-21,Sabtu,22
2025-06-22,Minggu,44
2025-06-23,Senin,51
2025-06-24,Selasa,55
2025-06-25,Rabu,56
2025-06-26,Kamis,53
2025-06-27,Jumat,48
2025-06-28,Sabtu,52
2025-06-29,Minggu,25
2025-06-30,Senin,44
2025-07-01,Selasa,33
2025-07-02,Rabu,38
2025-07-03,Kamis,32
2025-07-04,Jumat,40
2025-07-05,Sabtu,52
2025-07-06,Minggu,38
2025-07-07,Senin,32
2025-07-08,Selasa,30
2025-07-09,Rabu,40
2025-07-10,Kamis,20
2025-07-11,Jumat,42
2025-07-12,Sabtu,32
2025-07-13,Minggu,70
2025-07-14,Senin,52
2025-07-15,Selasa,40
2025-07-16,Rabu,68
2025-07-17,Kamis,48
2025-07-18,Jumat,46
2025-07-19,Sabtu,29
2025-07-20,Minggu,43
2025-07-21,Senin,46
2025-07-22,Selasa,36
2025-07-23,Rabu,67
2025-07-24,Kamis,62
2025-07-25,Jumat,61
2025-07-26,Sabtu,36
2025-07-27,Minggu,37
2025-07-28,Senin,36
2025-07-29,Selasa,24
2025-07-30,Rabu,50
2025-07-31,Kamis,51
2025-08-01,Jumat,31
2025-08-02,Sabtu,28
2025-08-03,Minggu,34
2025-08-04,Senin,36
2025-08-05,Selasa,20
2025-08-06,Rabu,50
2025-08-07,Kamis,42
2025-08-08,Jumat,60
2025-08-09,Sabtu,46
2025-08-10,Minggu,22
2025-08-11,Senin,52
2025-08-12,Selasa,51
2025-08-13,Rabu,52
2025-08-14,Kamis,44
2025-08-15,Jumat,40
2025-08-16,Sabtu,34
2025-08-17,Minggu,29
2025-08-18,Senin,40
2025-08-19,Selasa,34
2025-08-20,Rabu,38
2025-08-21,Kamis,30
2025-08-22,Jumat,46
2025-08-23,Sabtu,44
2025-08-24,Minggu,21
2025-08-25,Senin,30
2025-08-26,Selasa,58
2025-08-27,Rabu,36
2025-08-28,Kamis,32
2025-08-29,Jumat,58
2025-08-30,Sabtu,52
2025-08-31,Minggu,47
2025-09-01,Senin,26
2025-09-02,Selasa,32
2025-09-03,Rabu,52
2025-09-04,Kamis,38
2025-09-05,Jumat,50
2025-09-06,Sabtu,36
2025-09-07,Minggu,53
2025-09-08,Senin,56
2025-09-09,Selasa,52
2025-09-10,Rabu,32
2025-09-11,Kamis,69
2025-09-12,Jumat,44
2025-09-13,Sabtu,28
2025-09-14,Minggu,22
2025-09-15,Senin,30
2025-09-16,Selasa,41
2025-09-17,Rabu,26
2025-09-18,Kamis,28
2025-09-19,Jumat,44
2025-09-20,Sabtu,40
2025-09-21,Minggu,36
2025-09-22,Senin,24
2025-09-23,Selasa,46
2025-09-24,Rabu,40
2025-09-25,Kamis,42
2025-09-26,Jumat,33
2025-09-27,Sabtu,28
2025-09-28,Minggu,31
2025-09-29,Senin,64
2025-09-30,Selasa,26
2025-10-01,Rabu,33
2025-10-02,Kamis,48
2025-10-03,Jumat,38
2025-10-04,Sabtu,73
2025-10-05,Minggu,56
2025-10-06,Senin,32
2025-10-07,Selasa,30
2025-10-08,Rabu,44
2025-10-09,Kamis,90
2025-10-10,Jumat,46
2025-10-11,Sabtu,24
2025-10-12,Minggu,49
2025-10-13,Senin,28
2025-10-14,Selasa,53
2025-10-15,Rabu,43
2025-10-16,Kamis,24
2025-10-17,Jumat,60
2025-10-18,Sabtu,40
2025-10-19,Minggu,52
2025-10-20,Senin,44
2025-10-21,Selasa,53
2025-10-22,Rabu,43
2025-10-23,Kamis,51
2025-10-24,Jumat,44
2025-10-25,Sabtu,62
2025-10-26,Minggu,38
2025-10-27,Senin,42
2025-10-28,Selasa,20
2025-10-29,Rabu,44
2025-10-30,Kamis,24
2025-10-31,Jumat,48
2025-11-01,Sabtu,38
2025-11-02,Minggu,38
2025-11-03,Senin,24
2025-11-04,Selasa,40
2025-11-05,Rabu,49
2025-11-06,Kamis,36
2025-11-07,Jumat,62
2025-11-08,Sabtu,34
2025-11-09,Minggu,36
2025-11-10,Senin,49
2025-11-11,Selasa,53
2025-11-12,Rabu,53
2025-11-13,Kamis,48
2025-11-14,Jumat,42
2025-11-15,Sabtu,36
2025-11-16,Minggu,38
2025-11-17,Senin,38
2025-11-18,Selasa,20
2025-11-19,Rabu,17
2025-11-20,Kamis,35
2025-11-21,Jumat,44
2025-11-22,Sabtu,44
2025-11-23,Minggu,47
2025-11-24,Senin,33
2025-11-25,Selasa,40
2025-11-26,Rabu,14
2025-11-27,Kamis,54
2025-11-28,Jumat,28
2025-11-29,Sabtu,66
2025-11-30,Minggu,42
2025-12-01,Senin,46
2025-12-02,Selasa,8
2025-12-03,Rabu,50
2025-12-04,Kamis,66
2025-12-05,Jumat,55
2025-12-06,Sabtu,16
2025-12-07,Minggu,32
2025-12-08,Senin,34
2025-12-09,Selasa,36
2025-12-10,Rabu,18
2025-12-11,Kamis,38
2025-12-12,Jumat,40
2025-12-13,Sabtu,48
2025-12-14,Minggu,47
2025-12-15,Senin,40
2025-12-16,Selasa,50
2025-12-17,Rabu,46
2025-12-18,Kamis,30
2025-12-19,Jumat,28
2025-12-20,Sabtu,48
2025-12-21,Minggu,35
2025-12-22,Senin,24
2025-12-23,Selasa,56
2025-12-24,Rabu,40
2025-12-25,Kamis,38
2025-12-26,Jumat,36
2025-12-27,Sabtu,36
2025-12-28,Minggu,40
2025-12-29,Senin,36
2025-12-30,Selasa,40
2025-12-31,Rabu,32
