dataset,column_name,data_type,record_count,missing_count,missing_pct,unique_count,example_value,kind,used_in_preprocessing,used_as_vae_feature,used_as_label_or_eval,role
retraining_combined_raw,candidate_type,string/kategorikal,15329,0,0.0,2,ANOMALY,kategorikal,perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),label/metadata
retraining_canonical,user_id,integer,15329,0,0.0,72,61.0,numerik,perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),identifier
retraining_canonical,activity,string/kategorikal,15329,0,0.0,11,Login,kategorikal,perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),label/metadata
retraining_canonical,status,string/kategorikal,15329,0,0.0,2,Berhasil,kategorikal,perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),label/metadata
retraining_canonical,device,string/kategorikal,15329,0,0.0,7,Android,kategorikal,perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),label/metadata
retraining_canonical,ip_address,string/kategorikal,15329,0,0.0,3,Private Network 192.168.x.x,kategorikal,perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),label/metadata
retraining_canonical,duration_ms,float,15329,0,0.0,5280,7.454141078146678,numerik,perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),label/metadata
retraining_canonical,object_count,float,15329,0,0.0,108,0.6931471805599453,numerik,perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),label/metadata
retraining_canonical,hour,integer,15329,0,0.0,24,10,numerik,perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),label/metadata
retraining_canonical,day_of_week,integer,15329,0,0.0,7,2,numerik,perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),label/metadata
retraining_canonical,source_type,string/kategorikal,15329,0,0.0,2,SYNTHETIC,kategorikal,perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),label/metadata
retraining_canonical,source_id,string/kategorikal,15329,0,0.0,15329,synth_1,kategorikal,perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),label/metadata
retraining_canonical,candidate_type,string/kategorikal,15329,0,0.0,2,ANOMALY,kategorikal,perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),label/metadata
legacy_sample_vae,user_id,integer,25,0,0.0,2,1,numerik,perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),identifier
legacy_sample_vae,aksi,integer,25,0,0.0,3,2,numerik,perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),label/metadata
legacy_sample_vae,target_tipe,integer,25,0,0.0,1,0,numerik,perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),label/metadata
legacy_sample_vae,status,integer,25,0,0.0,1,0,numerik,perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),label/metadata
legacy_sample_vae,device,integer,25,0,0.0,1,0,numerik,perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),label/metadata
legacy_sample_vae,ip_address,integer,25,0,0.0,1,0.0,numerik,perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),label/metadata
legacy_sample_vae,durasi_ms,integer,25,0,0.0,1,0.0,numerik,perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),label/metadata
legacy_sample_vae,jumlah_objek,integer,25,0,0.0,1,0.0,numerik,perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),label/metadata
legacy_sample_vae,hour,integer,25,0,0.0,2,11,numerik,perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),label/metadata
legacy_sample_vae,day_of_week,integer,25,0,0.0,1,2,numerik,perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),perlu verifikasi (artefak lama),label/metadata
