row_id,timestamp,user_id,activity,session_id,anomaly_type,risk_level
47,2025-01-01 15:54:54,6,Login,S611D701E2350EA52,Normal,Normal
48,2025-01-01 15:56:56,6,Lihat Perkara,S611D701E2350EA52,Normal,Normal
49,2025-01-01 15:57:48,6,Lihat Berkas,S611D701E2350EA52,Normal,Normal
50,2025-01-01 15:58:15,6,Input Berkas,S611D701E2350EA52,Normal,Normal
51,2025-01-01 15:59:30,6,Verifikasi,S611D701E2350EA52,Normal,Normal
52,2025-01-01 16:00:29,6,Logout,S611D701E2350EA52,Normal,Normal
53,2025-01-02 07:05:13,49,Login,S4E3061DCBFEE9767,Normal,Normal
54,2025-01-02 07:05:38,49,Lihat Perkara,S4E3061DCBFEE9767,Normal,Normal
55,2025-01-02 07:06:57,49,Cari Berkas,S4E3061DCBFEE9767,Normal,Normal
56,2025-01-02 07:07:16,49,Logout,S4E3061DCBFEE9767,Normal,Normal
57,2025-01-02 07:17:46,38,Login,S2CFC95D73AE28DE8,Normal,Normal
58,2025-01-02 07:18:12,38,Lihat Perkara,S2CFC95D73AE28DE8,Normal,Normal
59,2025-01-02 07:20:35,38,Cari Berkas,S2CFC95D73AE28DE8,Normal,Normal
60,2025-01-02 07:22:23,38,Logout,S2CFC95D73AE28DE8,Normal,Normal
61,2025-01-02 07:55:53,25,Login,SC40CF33A42E32C21,Normal,Normal
62,2025-01-02 07:57:02,25,Lihat Perkara,SC40CF33A42E32C21,Normal,Normal
63,2025-01-02 07:58:40,25,Cari Berkas,SC40CF33A42E32C21,Normal,Normal
64,2025-01-02 08:00:32,25,Logout,SC40CF33A42E32C21,Normal,Normal
69,2025-01-02 09:31:44,54,Login,S1336980EE4B7405A,Normal,Normal
70,2025-01-02 09:34:36,54,Lihat Perkara,S1336980EE4B7405A,Normal,Normal
71,2025-01-02 09:36:19,54,Lihat Berkas,S1336980EE4B7405A,Normal,Normal
72,2025-01-02 09:37:41,54,Input Berkas,S1336980EE4B7405A,Normal,Normal
73,2025-01-02 09:39:55,54,Verifikasi,S1336980EE4B7405A,Normal,Normal
74,2025-01-02 09:40:21,54,Logout,S1336980EE4B7405A,Normal,Normal
79,2025-01-02 11:40:48,36,Login,S246618020299B709,Normal,Normal
80,2025-01-02 11:43:20,36,Lihat Perkara,S246618020299B709,Normal,Normal
81,2025-01-02 11:45:34,36,Cari Berkas,S246618020299B709,Normal,Normal
82,2025-01-02 11:46:04,36,Logout,S246618020299B709,peminjaman_massal,High
83,2025-01-02 11:47:41,70,Login,S74273CA3287D06CA,Normal,Normal
84,2025-01-02 11:49:59,70,Lihat Perkara,S74273CA3287D06CA,Normal,Normal
85,2025-01-02 11:50:54,70,Cari Berkas,S74273CA3287D06CA,Normal,Normal
86,2025-01-02 11:53:13,70,Logout,S74273CA3287D06CA,Normal,Normal
93,2025-01-02 13:50:49,6,Login,SC3B8A22B5D764BC4,Normal,Normal
94,2025-01-02 13:53:17,6,Lihat Perkara,SC3B8A22B5D764BC4,Normal,Normal
95,2025-01-02 13:54:03,6,Lihat Berkas,SC3B8A22B5D764BC4,Normal,Normal
96,2025-01-02 13:54:34,6,Input Berkas,SC3B8A22B5D764BC4,Normal,Normal
97,2025-01-02 13:57:32,6,Verifikasi,SC3B8A22B5D764BC4,Normal,Normal
98,2025-01-02 13:58:25,6,Logout,SC3B8A22B5D764BC4,Normal,Normal
99,2025-01-02 14:26:59,50,Login,SF868CF4E29C6F760,Normal,Normal
100,2025-01-02 14:29:09,50,Lihat Perkara,SF868CF4E29C6F760,Normal,Normal
101,2025-01-02 14:29:31,50,Cari Berkas,SF868CF4E29C6F760,Normal,Normal
102,2025-01-02 14:32:03,50,Logout,SF868CF4E29C6F760,Normal,Normal
103,2025-01-02 14:47:03,34,Login,S5C5F48D40DF407B8,Normal,Normal
104,2025-01-02 14:47:35,34,Lihat Perkara,S5C5F48D40DF407B8,Normal,Normal
105,2025-01-02 14:49:00,34,Cari Berkas,S5C5F48D40DF407B8,Normal,Normal
106,2025-01-02 14:49:20,62,Login,SED0E948491B56E0B,Normal,Normal
107,2025-01-02 14:50:10,62,Lihat Perkara,SED0E948491B56E0B,Normal,Normal
108,2025-01-02 14:50:23,62,Cari Berkas,SED0E948491B56E0B,Normal,Normal
109,2025-01-02 14:50:43,62,Logout,SED0E948491B56E0B,Normal,Normal
110,2025-01-02 14:51:59,34,Logout,S5C5F48D40DF407B8,Normal,Normal
115,2025-01-02 15:19:28,77,Login,S8FFBCC0F058729F3,Normal,Normal
116,2025-01-02 15:20:56,77,Lihat Perkara,S8FFBCC0F058729F3,ip_berubah,Low
118,2025-01-02 15:23:13,77,Cari Berkas,S8FFBCC0F058729F3,Normal,Normal
120,2025-01-02 15:24:28,77,Logout,S8FFBCC0F058729F3,Normal,Normal
123,2025-01-03 02:53:09,71,Login,S9923FC7A0D6B160F,login_luar_jam,Low
124,2025-01-03 07:54:55,71,Lihat Perkara,S9923FC7A0D6B160F,Normal,Normal
125,2025-01-03 07:55:56,71,Cari Berkas,S9923FC7A0D6B160F,Normal,Normal
126,2025-01-03 07:57:09,71,Logout,S9923FC7A0D6B160F,Normal,Normal
127,2025-01-03 08:46:43,20,Login,SD769E4C7155B7F04,Normal,Normal
128,2025-01-03 08:49:42,20,Lihat Perkara,SD769E4C7155B7F04,Normal,Normal
129,2025-01-03 08:51:06,20,Cari Berkas,SD769E4C7155B7F04,Normal,Normal
130,2025-01-03 08:53:40,20,Logout,SD769E4C7155B7F04,Normal,Normal
135,2025-01-03 12:39:01,61,Login,S31E4385086A81B2B,Normal,Normal
136,2025-01-03 12:40:35,61,Lihat Perkara,S31E4385086A81B2B,Normal,Normal
137,2025-01-03 12:41:09,61,Cari Berkas,S31E4385086A81B2B,durasi_tidak_wajar,Medium
138,2025-01-03 12:42:53,61,Logout,S31E4385086A81B2B,Normal,Normal
139,2025-01-03 13:10:02,84,Login,SF311F92B568CB2FB,Normal,Normal
140,2025-01-03 13:12:39,84,Dashboard,SF311F92B568CB2FB,Normal,Normal
141,2025-01-03 13:13:13,84,Kelola User,SF311F92B568CB2FB,Normal,Normal
142,2025-01-03 13:14:40,84,Kelola Kode Klasifikasi,SF311F92B568CB2FB,Normal,Normal
143,2025-01-03 13:16:15,84,Logout,SF311F92B568CB2FB,Normal,Normal
148,2025-01-03 14:50:54,50,Login,S2AA7097624494832,Normal,Normal
149,2025-01-03 14:51:23,50,Lihat Perkara,S2AA7097624494832,Normal,Normal
150,2025-01-03 14:53:54,50,Cari Berkas,S2AA7097624494832,Normal,Normal
151,2025-01-03 14:55:36,50,Logout,S2AA7097624494832,Normal,Normal
152,2025-01-03 15:07:47,77,Login,S2425F74C9839EAEA,Normal,Normal
153,2025-01-03 15:09:06,77,Lihat Perkara,S2425F74C9839EAEA,Normal,Normal
154,2025-01-03 15:09:30,77,Cari Berkas,S2425F74C9839EAEA,Normal,Normal
155,2025-01-03 15:11:13,77,Logout,S2425F74C9839EAEA,Normal,Normal
156,2025-01-03 16:49:44,45,Login,S8E220C2DEA771919,Normal,Normal
157,2025-01-03 16:50:50,45,Lihat Perkara,S8E220C2DEA771919,Normal,Normal
158,2025-01-03 16:53:24,45,Cari Berkas,S8E220C2DEA771919,Normal,Normal
159,2025-01-03 16:53:42,45,Logout,S8E220C2DEA771919,Normal,Normal
161,2025-01-04 12:24:59,78,Login,S5FFD22147ABF9970,Normal,Normal
162,2025-01-04 12:27:33,78,Lihat Perkara,S5FFD22147ABF9970,Normal,Normal
163,2025-01-04 12:28:55,78,Cari Berkas,S5FFD22147ABF9970,Normal,Normal
164,2025-01-04 12:31:53,78,Logout,S5FFD22147ABF9970,Normal,Normal
174,2025-01-04 14:24:13,71,Login,S147A7525F84E9845,ip_berubah,Low
175,2025-01-04 14:25:09,71,Lihat Perkara,S147A7525F84E9845,Normal,Normal
176,2025-01-04 14:28:09,71,Cari Berkas,S147A7525F84E9845,Normal,Normal
177,2025-01-04 14:30:36,71,Logout,S147A7525F84E9845,Normal,Normal
178,2025-01-04 15:48:38,20,Login,SF132776A4FE685C9,Normal,Normal
179,2025-01-04 15:50:50,20,Lihat Perkara,SF132776A4FE685C9,Normal,Normal
180,2025-01-04 15:52:33,20,Cari Berkas,SF132776A4FE685C9,Normal,Normal
181,2025-01-04 15:53:14,20,Logout,SF132776A4FE685C9,Normal,Normal
182,2025-01-04 16:49:26,64,Login,S050C6EC86172C44C,Normal,Normal
183,2025-01-04 16:49:36,64,Lihat Perkara,S050C6EC86172C44C,Normal,Normal
184,2025-01-04 16:51:11,64,Cari Berkas,S050C6EC86172C44C,Normal,Normal
185,2025-01-04 16:53:26,64,Logout,S050C6EC86172C44C,Normal,Normal
186,2025-01-05 03:57:39,24,Login,S7AF7BD840121221D,login_luar_jam,Low
187,2025-01-05 04:53:34,66,Login,SE4C4E73C4C46BAD8,login_luar_jam,Low
188,2025-01-05 07:37:09,38,Login,SD31C63FBBAABF7EC,Normal,Normal
189,2025-01-05 07:39:37,38,Lihat Perkara,SD31C63FBBAABF7EC,Normal,Normal
190,2025-01-05 07:41:12,38,Cari Berkas,SD31C63FBBAABF7EC,Normal,Normal
191,2025-01-05 07:42:45,38,Logout,SD31C63FBBAABF7EC,Normal,Normal
192,2025-01-05 07:54:25,45,Login,SB8FDFF81EF7419B8,Normal,Normal
193,2025-01-05 07:56:59,45,Lihat Perkara,SB8FDFF81EF7419B8,Normal,Normal
194,2025-01-05 07:58:01,45,Cari Berkas,SB8FDFF81EF7419B8,Normal,Normal
195,2025-01-05 07:59:40,45,Logout,SB8FDFF81EF7419B8,Normal,Normal
199,2025-01-05 08:56:13,66,Lihat Perkara,SE4C4E73C4C46BAD8,Normal,Normal
200,2025-01-05 08:56:51,66,Cari Berkas,SE4C4E73C4C46BAD8,Normal,Normal
203,2025-01-05 08:59:16,66,Logout,SE4C4E73C4C46BAD8,Normal,Normal
211,2025-01-05 10:58:39,24,Lihat Perkara,S7AF7BD840121221D,ip_berubah,Low
212,2025-01-05 10:58:54,23,Login,S26A9E100B509109B,Normal,Normal
213,2025-01-05 11:00:22,24,Cari Berkas,S7AF7BD840121221D,Normal,Normal
214,2025-01-05 11:00:43,24,Logout,S7AF7BD840121221D,Normal,Normal
215,2025-01-05 11:01:13,23,Lihat Perkara,S26A9E100B509109B,Normal,Normal
216,2025-01-05 11:03:19,23,Cari Berkas,S26A9E100B509109B,Normal,Normal
217,2025-01-05 11:05:04,23,Logout,S26A9E100B509109B,Normal,Normal
218,2025-01-05 13:24:00,59,Login,SD7ABD79712886BE9,Normal,Normal
219,2025-01-05 13:25:19,59,Lihat Perkara,SD7ABD79712886BE9,Normal,Normal
220,2025-01-05 13:26:02,59,Cari Berkas,SD7ABD79712886BE9,Normal,Normal
221,2025-01-05 13:28:52,59,Logout,SD7ABD79712886BE9,Normal,Normal
222,2025-01-05 14:03:33,70,Login,S0F862B69DB92CB57,Normal,Normal
223,2025-01-05 14:04:54,70,Lihat Perkara,S0F862B69DB92CB57,Normal,Normal
224,2025-01-05 14:06:01,70,Cari Berkas,S0F862B69DB92CB57,Normal,Normal
225,2025-01-05 14:07:30,70,Logout,S0F862B69DB92CB57,Normal,Normal
226,2025-01-05 14:44:45,44,Login,S0DBF38EDECE3E35D,Normal,Normal
227,2025-01-05 14:45:36,44,Lihat Perkara,S0DBF38EDECE3E35D,durasi_tidak_wajar,Medium
228,2025-01-05 14:46:33,44,Cari Berkas,S0DBF38EDECE3E35D,Normal,Normal
229,2025-01-05 14:47:13,44,Logout,S0DBF38EDECE3E35D,Normal,Normal
230,2025-01-05 15:28:10,73,Login,SAAB612C9415D174A,Normal,Normal
231,2025-01-05 15:29:33,73,Lihat Perkara,SAAB612C9415D174A,Normal,Normal
232,2025-01-05 15:32:02,73,Cari Berkas,SAAB612C9415D174A,Normal,Normal
233,2025-01-05 15:32:52,73,Logout,SAAB612C9415D174A,Normal,Normal
234,2025-01-05 16:04:57,51,Login,SF82F2DC31C35730B,Normal,Normal
235,2025-01-05 16:05:44,51,Lihat Perkara,SF82F2DC31C35730B,Normal,Normal
236,2025-01-05 16:05:54,54,Login,SBCE0CAEFF17FA5C0,Normal,Normal
237,2025-01-05 16:07:53,51,Cari Berkas,SF82F2DC31C35730B,durasi_tidak_wajar,Medium
238,2025-01-05 16:08:41,51,Logout,SF82F2DC31C35730B,Normal,Normal
239,2025-01-05 16:08:52,54,Lihat Perkara,SBCE0CAEFF17FA5C0,Normal,Normal
240,2025-01-05 16:10:32,54,Lihat Berkas,SBCE0CAEFF17FA5C0,Normal,Normal
241,2025-01-05 16:12:08,54,Input Berkas,SBCE0CAEFF17FA5C0,Normal,Normal
242,2025-01-05 16:13:15,54,Verifikasi,SBCE0CAEFF17FA5C0,Normal,Normal
243,2025-01-05 16:15:12,54,Logout,SBCE0CAEFF17FA5C0,Normal,Normal
245,2025-01-06 09:00:48,66,Login,SEAADCA47961EF83B,Normal,Normal
246,2025-01-06 09:03:02,66,Lihat Perkara,SEAADCA47961EF83B,Normal,Normal
247,2025-01-06 09:04:51,66,Cari Berkas,SEAADCA47961EF83B,Normal,Normal
248,2025-01-06 09:05:53,66,Logout,SEAADCA47961EF83B,Normal,Normal
252,2025-01-06 13:10:14,84,Login,S07FB3BDD95593433,Normal,Normal
253,2025-01-06 13:12:23,84,Dashboard,S07FB3BDD95593433,Normal,Normal
254,2025-01-06 13:14:34,84,Kelola User,S07FB3BDD95593433,Normal,Normal
255,2025-01-06 13:17:18,84,Kelola Kode Klasifikasi,S07FB3BDD95593433,Normal,Normal
256,2025-01-06 13:18:48,84,Logout,S07FB3BDD95593433,Normal,Normal
257,2025-01-06 13:51:12,55,Login,S4D3513751ABFD7AA,Normal,Normal
258,2025-01-06 13:51:50,55,Lihat Perkara,S4D3513751ABFD7AA,Normal,Normal
259,2025-01-06 13:53:52,55,Lihat Berkas,S4D3513751ABFD7AA,Normal,Normal
260,2025-01-06 13:54:15,55,Input Berkas,S4D3513751ABFD7AA,Normal,Normal
261,2025-01-06 13:56:49,55,Verifikasi,S4D3513751ABFD7AA,Normal,Normal
262,2025-01-06 13:59:27,55,Logout,S4D3513751ABFD7AA,Normal,Normal
263,2025-01-07 09:05:32,66,Login,SE599E2E040C8F92A,Normal,Normal
264,2025-01-07 09:07:07,66,Lihat Perkara,SE599E2E040C8F92A,Normal,Normal
265,2025-01-07 09:09:10,66,Cari Berkas,SE599E2E040C8F92A,Normal,Normal
266,2025-01-07 09:11:14,66,Logout,SE599E2E040C8F92A,Normal,Normal
267,2025-01-07 09:30:35,61,Login,SF9E9C0DA3B6A31CE,Normal,Normal
268,2025-01-07 09:32:23,61,Lihat Perkara,SF9E9C0DA3B6A31CE,Normal,Normal
269,2025-01-07 09:32:51,61,Cari Berkas,SF9E9C0DA3B6A31CE,Normal,Normal
270,2025-01-07 09:35:17,61,Logout,SF9E9C0DA3B6A31CE,Normal,Normal
271,2025-01-07 10:40:19,77,Login,S5D5624C1FFAF473D,Normal,Normal
273,2025-01-07 10:42:13,77,Lihat Perkara,S5D5624C1FFAF473D,Normal,Normal
275,2025-01-07 10:45:11,77,Cari Berkas,S5D5624C1FFAF473D,Normal,Normal
277,2025-01-07 10:45:25,77,Logout,S5D5624C1FFAF473D,Normal,Normal
279,2025-01-07 11:58:24,60,Login,SEE4401C971AFC5FF,Normal,Normal
280,2025-01-07 12:00:28,60,Lihat Perkara,SEE4401C971AFC5FF,Normal,Normal
281,2025-01-07 12:01:12,60,Cari Berkas,SEE4401C971AFC5FF,Normal,Normal
282,2025-01-07 12:03:06,60,Logout,SEE4401C971AFC5FF,Normal,Normal
283,2025-01-07 12:49:35,84,Login,SA687D7C81C71FE87,Normal,Normal
284,2025-01-07 12:52:00,84,Dashboard,SA687D7C81C71FE87,Normal,Normal
285,2025-01-07 12:52:12,84,Kelola User,SA687D7C81C71FE87,Normal,Normal
286,2025-01-07 12:52:49,84,Kelola Kode Klasifikasi,SA687D7C81C71FE87,Normal,Normal
287,2025-01-07 12:52:59,84,Logout,SA687D7C81C71FE87,Normal,Normal
288,2025-01-07 13:07:53,79,Login,SE880D4CFE1EF901F,ip_berubah,Low
289,2025-01-07 13:08:20,79,Lihat Perkara,SE880D4CFE1EF901F,Normal,Normal
290,2025-01-07 13:10:15,79,Cari Berkas,SE880D4CFE1EF901F,Normal,Normal
291,2025-01-07 13:12:08,79,Logout,SE880D4CFE1EF901F,Normal,Normal
296,2025-01-07 15:43:22,37,Login,S08C63C7A862537E0,Normal,Normal
297,2025-01-07 15:44:11,37,Lihat Perkara,S08C63C7A862537E0,Normal,Normal
298,2025-01-07 15:46:25,37,Cari Berkas,S08C63C7A862537E0,Normal,Normal
299,2025-01-07 15:47:15,37,Logout,S08C63C7A862537E0,Normal,Normal
302,2025-01-08 01:37:21,26,Login,S65B63378A5DFC68A,login_luar_jam,Low
303,2025-01-08 06:06:13,23,Login,S040279F438381149,login_luar_jam,Low
304,2025-01-08 06:42:49,55,Login,SE6DB8A5B4EFC8D6D,login_luar_jam,Low
305,2025-01-08 07:46:34,79,Login,SA7346B261BEAA75A,Normal,Normal
306,2025-01-08 07:49:09,79,Lihat Perkara,SA7346B261BEAA75A,Normal,Normal
307,2025-01-08 07:50:57,79,Cari Berkas,SA7346B261BEAA75A,Normal,Normal
308,2025-01-08 07:51:45,79,Logout,SA7346B261BEAA75A,Normal,Normal
313,2025-01-08 08:45:18,55,Lihat Perkara,SE6DB8A5B4EFC8D6D,Normal,Normal
314,2025-01-08 08:45:53,55,Lihat Berkas,SE6DB8A5B4EFC8D6D,Normal,Normal
315,2025-01-08 08:48:49,55,Input Berkas,SE6DB8A5B4EFC8D6D,Normal,Normal
316,2025-01-08 08:50:18,55,Verifikasi,SE6DB8A5B4EFC8D6D,Normal,Normal
317,2025-01-08 08:51:42,55,Logout,SE6DB8A5B4EFC8D6D,Normal,Normal
320,2025-01-08 09:06:51,23,Lihat Perkara,S040279F438381149,Normal,Normal
321,2025-01-08 09:07:54,23,Cari Berkas,S040279F438381149,Normal,Normal
323,2025-01-08 09:08:20,23,Logout,S040279F438381149,Normal,Normal
324,2025-01-08 09:38:58,26,Lihat Perkara,S65B63378A5DFC68A,Normal,Normal
325,2025-01-08 09:39:54,26,Cari Berkas,S65B63378A5DFC68A,ip_berubah,Low
326,2025-01-08 09:40:58,26,Logout,S65B63378A5DFC68A,durasi_tidak_wajar,Medium
327,2025-01-08 11:48:51,26,Login,S6502D6A2CA6A2224,Normal,Normal
328,2025-01-08 11:51:18,26,Lihat Perkara,S6502D6A2CA6A2224,peminjaman_massal,High
329,2025-01-08 11:51:59,26,Cari Berkas,S6502D6A2CA6A2224,Normal,Normal
330,2025-01-08 11:54:05,26,Logout,S6502D6A2CA6A2224,Normal,Normal
335,2025-01-08 16:34:17,40,Login,S32552D1E2AD771F7,Normal,Normal
336,2025-01-08 16:36:44,40,Lihat Perkara,S32552D1E2AD771F7,Normal,Normal
337,2025-01-08 16:37:08,40,Cari Berkas,S32552D1E2AD771F7,peminjaman_massal,High
338,2025-01-08 16:39:09,40,Logout,S32552D1E2AD771F7,Normal,Normal
346,2025-01-09 01:10:29,53,Login,S5168923D610006EE,login_luar_jam,Low
348,2025-01-09 08:42:26,77,Login,S9E009EF45BAB5AEC,Normal,Normal
349,2025-01-09 08:44:37,77,Lihat Perkara,S9E009EF45BAB5AEC,Normal,Normal
350,2025-01-09 08:46:42,77,Cari Berkas,S9E009EF45BAB5AEC,Normal,Normal
351,2025-01-09 08:49:29,77,Logout,S9E009EF45BAB5AEC,Normal,Normal
356,2025-01-09 10:06:22,70,Login,S3BDE5F617142AA48,Normal,Normal
357,2025-01-09 10:07:15,70,Lihat Perkara,S3BDE5F617142AA48,Normal,Normal
358,2025-01-09 10:07:35,70,Cari Berkas,S3BDE5F617142AA48,Normal,Normal
359,2025-01-09 10:10:22,70,Logout,S3BDE5F617142AA48,Normal,Normal
368,2025-01-09 11:10:45,53,Lihat Perkara,S5168923D610006EE,Normal,Normal
369,2025-01-09 11:11:59,53,Cari Berkas,S5168923D610006EE,Normal,Normal
370,2025-01-09 11:13:09,53,Logout,S5168923D610006EE,Normal,Normal
374,2025-01-09 12:59:46,62,Login,S69E8D3A4EB2592B9,Normal,Normal
375,2025-01-09 13:02:32,62,Lihat Perkara,S69E8D3A4EB2592B9,Normal,Normal
376,2025-01-09 13:05:21,62,Cari Berkas,S69E8D3A4EB2592B9,Normal,Normal
377,2025-01-09 13:06:29,62,Logout,S69E8D3A4EB2592B9,Normal,Normal
378,2025-01-09 13:59:54,30,Login,S8F902934A24D084D,Normal,Normal
379,2025-01-09 13:59:58,48,Login,SC90A115D64A8ADA7,Normal,Normal
380,2025-01-09 14:00:47,30,Lihat Perkara,S8F902934A24D084D,Normal,Normal
381,2025-01-09 14:01:07,30,Cari Berkas,S8F902934A24D084D,Normal,Normal
382,2025-01-09 14:01:20,30,Logout,S8F902934A24D084D,Normal,Normal
383,2025-01-09 14:02:30,48,Lihat Perkara,SC90A115D64A8ADA7,Normal,Normal
384,2025-01-09 14:03:28,48,Lihat Berkas,SC90A115D64A8ADA7,Normal,Normal
385,2025-01-09 14:04:46,48,Input Berkas,SC90A115D64A8ADA7,Normal,Normal
386,2025-01-09 14:05:42,48,Verifikasi,SC90A115D64A8ADA7,Normal,Normal
387,2025-01-09 14:07:38,48,Logout,SC90A115D64A8ADA7,device_berubah,Low
392,2025-01-09 16:34:20,60,Login,SFFAD7DF2C95995EC,Normal,Normal
393,2025-01-09 16:35:17,60,Lihat Perkara,SFFAD7DF2C95995EC,Normal,Normal
394,2025-01-09 16:35:59,60,Cari Berkas,SFFAD7DF2C95995EC,Normal,Normal
395,2025-01-09 16:36:25,60,Logout,SFFAD7DF2C95995EC,Normal,Normal
397,2025-01-10 07:06:23,28,Login,S88CCDDBC6F0D7229,Normal,Normal
398,2025-01-10 07:08:14,28,Lihat Perkara,S88CCDDBC6F0D7229,Normal,Normal
399,2025-01-10 07:08:53,28,Cari Berkas,S88CCDDBC6F0D7229,Normal,Normal
400,2025-01-10 07:09:06,28,Logout,S88CCDDBC6F0D7229,Normal,Normal
401,2025-01-10 07:12:44,55,Login,S811E6B6FDFA3C787,Normal,Normal
402,2025-01-10 07:13:01,55,Lihat Perkara,S811E6B6FDFA3C787,Normal,Normal
403,2025-01-10 07:15:32,55,Lihat Berkas,S811E6B6FDFA3C787,Normal,Normal
404,2025-01-10 07:16:58,55,Input Berkas,S811E6B6FDFA3C787,Normal,Normal
405,2025-01-10 07:17:34,55,Verifikasi,S811E6B6FDFA3C787,peminjaman_massal,High
406,2025-01-10 07:19:24,55,Logout,S811E6B6FDFA3C787,Normal,Normal
407,2025-01-10 08:32:23,80,Login,S388211E059CDA20B,Normal,Normal
408,2025-01-10 08:32:38,80,Lihat Perkara,S388211E059CDA20B,Normal,Normal
409,2025-01-10 08:33:08,80,Cari Berkas,S388211E059CDA20B,Normal,Normal
410,2025-01-10 08:33:54,80,Logout,S388211E059CDA20B,Normal,Normal
412,2025-01-10 09:29:20,61,Login,S66F38D431DF187A9,Normal,Normal
414,2025-01-10 09:31:11,61,Lihat Perkara,S66F38D431DF187A9,Normal,Normal
416,2025-01-10 09:33:56,61,Cari Berkas,S66F38D431DF187A9,Normal,Normal
417,2025-01-10 09:35:30,61,Logout,S66F38D431DF187A9,Normal,Normal
418,2025-01-10 11:05:55,65,Login,S016476445CDB6990,Normal,Normal
419,2025-01-10 11:08:32,65,Lihat Perkara,S016476445CDB6990,Normal,Normal
420,2025-01-10 11:09:47,65,Cari Berkas,S016476445CDB6990,Normal,Normal
421,2025-01-10 11:12:39,65,Logout,S016476445CDB6990,Normal,Normal
422,2025-01-10 12:13:19,56,Login,S9080810858904829,Normal,Normal
423,2025-01-10 12:16:19,56,Lihat Perkara,S9080810858904829,Normal,Normal
424,2025-01-10 12:18:10,56,Cari Berkas,S9080810858904829,Normal,Normal
425,2025-01-10 12:18:49,56,Logout,S9080810858904829,Normal,Normal
426,2025-01-10 12:32:50,52,Login,S715C8F854D529E8A,Normal,Normal
427,2025-01-10 12:35:08,52,Lihat Perkara,S715C8F854D529E8A,Normal,Normal
