_hour,_activity,anomaly_count,normal_count,normal_frequency,anomaly_frequency,type,combination,_device,_ip,_obj_bucket,_dur_bucket
16.0,Akses Berkas,41,304.0,0.022518518518518518,0.14909090909090908,mass_archive_access,hour_activity_ip,,Private Network 192.168.x.x,,
17.0,Akses Berkas,22,335.0,0.024814814814814814,0.08,mass_archive_access,hour_activity_ip,,Private Network 192.168.x.x,,
18.0,Akses Berkas,20,331.0,0.02451851851851852,0.07272727272727272,mass_archive_access,hour_activity_ip,,Private Network 192.168.x.x,,
19.0,Akses Berkas,26,331.0,0.02451851851851852,0.09454545454545454,mass_archive_access,hour_activity_ip,,Private Network 192.168.x.x,,
20.0,Akses Berkas,21,313.0,0.023185185185185184,0.07636363636363637,mass_archive_access,hour_activity_ip,,Private Network 192.168.x.x,,
21.0,Akses Berkas,32,340.0,0.025185185185185185,0.11636363636363636,mass_archive_access,hour_activity_ip,,Private Network 192.168.x.x,,
22.0,Akses Berkas,37,309.0,0.02288888888888889,0.13454545454545455,mass_archive_access,hour_activity_ip,,Private Network 192.168.x.x,,
23.0,Akses Berkas,25,315.0,0.023333333333333334,0.09090909090909091,mass_archive_access,hour_activity_ip,,Private Network 192.168.x.x,,
,Akses Berkas,275,1650.0,0.12222222222222222,1.0,mass_archive_access,activity_object_bucket,,,6-10,
,Akses Berkas,275,1137.0,0.08422222222222223,1.0,mass_archive_access,activity_duration_bucket,,,,"(4051.0, 11997.0]"
,,30,1404.0,0.104,0.10909090909090909,mass_archive_access,device_ip,Android,Private Network 192.168.x.x,,
,,196,9646.0,0.7145185185185186,0.7127272727272728,mass_archive_access,device_ip,PC Windows,Private Network 192.168.x.x,,
,,49,2450.0,0.1814814814814815,0.1781818181818182,mass_archive_access,device_ip,iOS,Private Network 192.168.x.x,,
0.0,Kelola User,45,0.0,0.0,0.18,offhours_privileged_access,hour_activity,,,,
1.0,Kelola User,46,0.0,0.0,0.184,offhours_privileged_access,hour_activity,,,,
2.0,Kelola User,38,0.0,0.0,0.152,offhours_privileged_access,hour_activity,,,,
3.0,Kelola User,31,0.0,0.0,0.124,offhours_privileged_access,hour_activity,,,,
4.0,Kelola User,43,0.0,0.0,0.172,offhours_privileged_access,hour_activity,,,,
5.0,Kelola User,47,0.0,0.0,0.188,offhours_privileged_access,hour_activity,,,,
0.0,Kelola User,6,0.0,0.0,0.024,offhours_privileged_access,hour_activity_device,Android,,,
0.0,Kelola User,29,0.0,0.0,0.116,offhours_privileged_access,hour_activity_device,PC Windows,,,
0.0,Kelola User,10,0.0,0.0,0.04,offhours_privileged_access,hour_activity_device,iOS,,,
1.0,Kelola User,6,0.0,0.0,0.024,offhours_privileged_access,hour_activity_device,Android,,,
1.0,Kelola User,32,0.0,0.0,0.128,offhours_privileged_access,hour_activity_device,PC Windows,,,
1.0,Kelola User,8,0.0,0.0,0.032,offhours_privileged_access,hour_activity_device,iOS,,,
2.0,Kelola User,5,0.0,0.0,0.02,offhours_privileged_access,hour_activity_device,Android,,,
2.0,Kelola User,24,0.0,0.0,0.096,offhours_privileged_access,hour_activity_device,PC Windows,,,
2.0,Kelola User,9,0.0,0.0,0.036,offhours_privileged_access,hour_activity_device,iOS,,,
3.0,Kelola User,6,0.0,0.0,0.024,offhours_privileged_access,hour_activity_device,Android,,,
3.0,Kelola User,21,0.0,0.0,0.084,offhours_privileged_access,hour_activity_device,PC Windows,,,
3.0,Kelola User,4,0.0,0.0,0.016,offhours_privileged_access,hour_activity_device,iOS,,,
4.0,Kelola User,7,0.0,0.0,0.028,offhours_privileged_access,hour_activity_device,Android,,,
4.0,Kelola User,31,0.0,0.0,0.124,offhours_privileged_access,hour_activity_device,PC Windows,,,
4.0,Kelola User,5,0.0,0.0,0.02,offhours_privileged_access,hour_activity_device,iOS,,,
5.0,Kelola User,6,0.0,0.0,0.024,offhours_privileged_access,hour_activity_device,Android,,,
5.0,Kelola User,34,0.0,0.0,0.136,offhours_privileged_access,hour_activity_device,PC Windows,,,
5.0,Kelola User,7,0.0,0.0,0.028,offhours_privileged_access,hour_activity_device,iOS,,,
0.0,Kelola User,45,0.0,0.0,0.18,offhours_privileged_access,hour_activity_ip,,Private Network 192.168.x.x,,
1.0,Kelola User,46,0.0,0.0,0.184,offhours_privileged_access,hour_activity_ip,,Private Network 192.168.x.x,,
2.0,Kelola User,38,0.0,0.0,0.152,offhours_privileged_access,hour_activity_ip,,Private Network 192.168.x.x,,
3.0,Kelola User,31,0.0,0.0,0.124,offhours_privileged_access,hour_activity_ip,,Private Network 192.168.x.x,,
4.0,Kelola User,43,0.0,0.0,0.172,offhours_privileged_access,hour_activity_ip,,Private Network 192.168.x.x,,
5.0,Kelola User,47,0.0,0.0,0.188,offhours_privileged_access,hour_activity_ip,,Private Network 192.168.x.x,,
,Kelola User,132,8.0,0.0005925925925925926,0.528,offhours_privileged_access,activity_object_bucket,,,1,
,Kelola User,13,10.0,0.0007407407407407407,0.052,offhours_privileged_access,activity_object_bucket,,,2,
,Kelola User,46,28.0,0.002074074074074074,0.184,offhours_privileged_access,activity_object_bucket,,,3-5,
,Kelola User,59,43.0,0.003185185185185185,0.236,offhours_privileged_access,activity_object_bucket,,,6-10,
,Kelola User,57,7.0,0.0005185185185185185,0.228,offhours_privileged_access,activity_duration_bucket,,,,"(1266.6, 1951.4]"
,Kelola User,44,26.0,0.001925925925925926,0.176,offhours_privileged_access,activity_duration_bucket,,,,"(1951.4, 4051.0]"
,Kelola User,47,0.0,0.0,0.188,offhours_privileged_access,activity_duration_bucket,,,,"(199.999, 788.0]"
,Kelola User,50,55.0,0.004074074074074074,0.2,offhours_privileged_access,activity_duration_bucket,,,,"(4051.0, 11997.0]"
,Kelola User,52,1.0,7.407407407407407e-05,0.208,offhours_privileged_access,activity_duration_bucket,,,,"(788.0, 1266.6]"
,,36,1404.0,0.104,0.144,offhours_privileged_access,device_ip,Android,Private Network 192.168.x.x,,
,,171,9646.0,0.7145185185185186,0.684,offhours_privileged_access,device_ip,PC Windows,Private Network 192.168.x.x,,
,,43,2450.0,0.1814814814814815,0.172,offhours_privileged_access,device_ip,iOS,Private Network 192.168.x.x,,
