Threshold,TP,FP,TN,FN,Precision,Recall,F1-Score,FPR,FNR,Youden_J
0.041,427,25,2050,323,0.9447,0.5693,0.7105,0.012,0.4307,0.5573
0.042,419,24,2051,331,0.9458,0.5587,0.7024,0.0116,0.4413,0.5471
0.043000000000000003,414,24,2051,336,0.9452,0.552,0.697,0.0116,0.448,0.5404
0.044000000000000004,412,21,2054,338,0.9515,0.5493,0.6965,0.0101,0.4507,0.5392
0.045,405,19,2056,345,0.9552,0.54,0.6899,0.0092,0.46,0.5308
0.046,401,19,2056,349,0.9548,0.5347,0.6855,0.0092,0.4653,0.5255
0.047,395,18,2057,355,0.9564,0.5267,0.6793,0.0087,0.4733,0.518
0.048,390,18,2057,360,0.9559,0.52,0.6736,0.0087,0.48,0.5113
0.049,385,18,2057,365,0.9553,0.5133,0.6678,0.0087,0.4867,0.5047
0.05,384,16,2059,366,0.96,0.512,0.6678,0.0077,0.488,0.5043
0.051000000000000004,380,15,2060,370,0.962,0.5067,0.6638,0.0072,0.4933,0.4994
0.052000000000000005,374,15,2060,376,0.9614,0.4987,0.6567,0.0072,0.5013,0.4914
0.053000000000000005,370,15,2060,380,0.961,0.4933,0.652,0.0072,0.5067,0.4861
0.054,368,15,2060,382,0.9608,0.4907,0.6496,0.0072,0.5093,0.4834
0.055,367,14,2061,383,0.9633,0.4893,0.649,0.0067,0.5107,0.4826
0.056,366,14,2061,384,0.9632,0.488,0.6478,0.0067,0.512,0.4813
0.057,362,13,2062,388,0.9653,0.4827,0.6436,0.0063,0.5173,0.4764
0.058,359,13,2062,391,0.9651,0.4787,0.6399,0.0063,0.5213,0.4724
0.059000000000000004,357,13,2062,393,0.9649,0.476,0.6375,0.0063,0.524,0.4697
0.060000000000000005,356,13,2062,394,0.9648,0.4747,0.6363,0.0063,0.5253,0.4684
0.061,353,12,2063,397,0.9671,0.4707,0.6332,0.0058,0.5293,0.4649
0.062,349,12,2063,401,0.9668,0.4653,0.6283,0.0058,0.5347,0.4596
0.063,348,9,2066,402,0.9748,0.464,0.6287,0.0043,0.536,0.4597
0.064,344,9,2066,406,0.9745,0.4587,0.6238,0.0043,0.5413,0.4543
0.065,342,9,2066,408,0.9744,0.456,0.6213,0.0043,0.544,0.4517
0.066,339,9,2066,411,0.9741,0.452,0.6175,0.0043,0.548,0.4477
0.067,338,9,2066,412,0.9741,0.4507,0.6162,0.0043,0.5493,0.4463
0.068,338,8,2067,412,0.9769,0.4507,0.6168,0.0039,0.5493,0.4468
0.069,337,7,2068,413,0.9797,0.4493,0.6161,0.0034,0.5507,0.446
0.07,337,7,2068,413,0.9797,0.4493,0.6161,0.0034,0.5507,0.446
0.07100000000000001,336,7,2068,414,0.9796,0.448,0.6148,0.0034,0.552,0.4446
0.07200000000000001,335,6,2069,415,0.9824,0.4467,0.6141,0.0029,0.5533,0.4438
0.07300000000000001,334,4,2071,416,0.9882,0.4453,0.614,0.0019,0.5547,0.4434
0.074,334,4,2071,416,0.9882,0.4453,0.614,0.0019,0.5547,0.4434
0.075,330,4,2071,420,0.988,0.44,0.6089,0.0019,0.56,0.4381
0.076,329,4,2071,421,0.988,0.4387,0.6076,0.0019,0.5613,0.4367
0.077,327,4,2071,423,0.9879,0.436,0.605,0.0019,0.564,0.4341
0.078,326,4,2071,424,0.9879,0.4347,0.6037,0.0019,0.5653,0.4327
0.079,326,4,2071,424,0.9879,0.4347,0.6037,0.0019,0.5653,0.4327
0.08,323,4,2071,427,0.9878,0.4307,0.5998,0.0019,0.5693,0.4287
0.081,321,4,2071,429,0.9877,0.428,0.5972,0.0019,0.572,0.4261
0.082,319,4,2071,431,0.9876,0.4253,0.5946,0.0019,0.5747,0.4234
0.083,317,4,2071,433,0.9875,0.4227,0.592,0.0019,0.5773,0.4207
0.084,316,4,2071,434,0.9875,0.4213,0.5907,0.0019,0.5787,0.4194
0.085,315,4,2071,435,0.9875,0.42,0.5893,0.0019,0.58,0.4181
0.08600000000000001,313,4,2071,437,0.9874,0.4173,0.5867,0.0019,0.5827,0.4154
0.08700000000000001,312,4,2071,438,0.9873,0.416,0.5854,0.0019,0.584,0.4141
0.08800000000000001,311,4,2071,439,0.9873,0.4147,0.584,0.0019,0.5853,0.4127
0.089,308,4,2071,442,0.9872,0.4107,0.58,0.0019,0.5893,0.4087
0.09,307,4,2071,443,0.9871,0.4093,0.5787,0.0019,0.5907,0.4074
0.091,307,4,2071,443,0.9871,0.4093,0.5787,0.0019,0.5907,0.4074
0.092,304,4,2071,446,0.987,0.4053,0.5747,0.0019,0.5947,0.4034
0.093,303,4,2071,447,0.987,0.404,0.5733,0.0019,0.596,0.4021
0.094,303,3,2072,447,0.9902,0.404,0.5739,0.0014,0.596,0.4026
0.095,303,3,2072,447,0.9902,0.404,0.5739,0.0014,0.596,0.4026
0.096,303,3,2072,447,0.9902,0.404,0.5739,0.0014,0.596,0.4026
0.097,300,3,2072,450,0.9901,0.4,0.5698,0.0014,0.6,0.3986
0.098,298,2,2073,452,0.9933,0.3973,0.5676,0.001,0.6027,0.3964
0.099,298,2,2073,452,0.9933,0.3973,0.5676,0.001,0.6027,0.3964
0.1,295,2,2073,455,0.9933,0.3933,0.5635,0.001,0.6067,0.3924
0.101,294,2,2073,456,0.9932,0.392,0.5621,0.001,0.608,0.391
0.10200000000000001,292,2,2073,458,0.9932,0.3893,0.5594,0.001,0.6107,0.3884
0.10300000000000001,290,2,2073,460,0.9932,0.3867,0.5566,0.001,0.6133,0.3857
0.10400000000000001,287,2,2073,463,0.9931,0.3827,0.5525,0.001,0.6173,0.3817
0.10500000000000001,286,2,2073,464,0.9931,0.3813,0.5511,0.001,0.6187,0.3804
0.106,286,2,2073,464,0.9931,0.3813,0.5511,0.001,0.6187,0.3804
0.107,284,2,2073,466,0.993,0.3787,0.5483,0.001,0.6213,0.3777
0.108,282,2,2073,468,0.993,0.376,0.5455,0.001,0.624,0.375
0.109,280,2,2073,470,0.9929,0.3733,0.5426,0.001,0.6267,0.3724
0.11,279,2,2073,471,0.9929,0.372,0.5412,0.001,0.628,0.371
0.111,277,2,2073,473,0.9928,0.3693,0.5384,0.001,0.6307,0.3684
0.112,276,2,2073,474,0.9928,0.368,0.537,0.001,0.632,0.367
0.113,275,2,2073,475,0.9928,0.3667,0.5355,0.001,0.6333,0.3657
0.114,275,2,2073,475,0.9928,0.3667,0.5355,0.001,0.6333,0.3657
0.115,273,2,2073,477,0.9927,0.364,0.5327,0.001,0.636,0.363
0.116,271,2,2073,479,0.9927,0.3613,0.5298,0.001,0.6387,0.3604
0.117,268,2,2073,482,0.9926,0.3573,0.5255,0.001,0.6427,0.3564
0.117187,268,2,2073,482,0.9926,0.3573,0.5255,0.001,0.6427,0.3564
0.11800000000000001,267,2,2073,483,0.9926,0.356,0.524,0.001,0.644,0.355
0.11900000000000001,266,2,2073,484,0.9925,0.3547,0.5226,0.001,0.6453,0.3537
0.12000000000000001,266,2,2073,484,0.9925,0.3547,0.5226,0.001,0.6453,0.3537
0.121,266,2,2073,484,0.9925,0.3547,0.5226,0.001,0.6453,0.3537
0.122,265,2,2073,485,0.9925,0.3533,0.5211,0.001,0.6467,0.3524
0.123,264,2,2073,486,0.9925,0.352,0.5197,0.001,0.648,0.351
0.124,263,2,2073,487,0.9925,0.3507,0.5182,0.001,0.6493,0.3497
0.125,262,2,2073,488,0.9924,0.3493,0.5168,0.001,0.6507,0.3484
0.126,262,2,2073,488,0.9924,0.3493,0.5168,0.001,0.6507,0.3484
0.127,259,1,2074,491,0.9962,0.3453,0.5129,0.0005,0.6547,0.3449
0.128,257,1,2074,493,0.9961,0.3427,0.5099,0.0005,0.6573,0.3422
0.129,256,1,2074,494,0.9961,0.3413,0.5084,0.0005,0.6587,0.3409
0.13,254,1,2074,496,0.9961,0.3387,0.5055,0.0005,0.6613,0.3382
0.131,254,1,2074,496,0.9961,0.3387,0.5055,0.0005,0.6613,0.3382
0.132,254,1,2074,496,0.9961,0.3387,0.5055,0.0005,0.6613,0.3382
0.133,253,1,2074,497,0.9961,0.3373,0.504,0.0005,0.6627,0.3369
0.134,251,1,2074,499,0.996,0.3347,0.501,0.0005,0.6653,0.3342
0.135,251,1,2074,499,0.996,0.3347,0.501,0.0005,0.6653,0.3342
0.136,251,1,2074,499,0.996,0.3347,0.501,0.0005,0.6653,0.3342
0.137,250,1,2074,500,0.996,0.3333,0.4995,0.0005,0.6667,0.3329
0.138,249,1,2074,501,0.996,0.332,0.498,0.0005,0.668,0.3315
0.139,249,1,2074,501,0.996,0.332,0.498,0.0005,0.668,0.3315
0.14,249,1,2074,501,0.996,0.332,0.498,0.0005,0.668,0.3315
0.14100000000000001,249,1,2074,501,0.996,0.332,0.498,0.0005,0.668,0.3315
0.14200000000000002,247,1,2074,503,0.996,0.3293,0.495,0.0005,0.6707,0.3289
0.14300000000000002,246,1,2074,504,0.996,0.328,0.4935,0.0005,0.672,0.3275
0.14400000000000002,246,1,2074,504,0.996,0.328,0.4935,0.0005,0.672,0.3275
0.14500000000000002,246,1,2074,504,0.996,0.328,0.4935,0.0005,0.672,0.3275
0.146,246,1,2074,504,0.996,0.328,0.4935,0.0005,0.672,0.3275
0.147,246,0,2075,504,1.0,0.328,0.494,0.0,0.672,0.328
0.148,246,0,2075,504,1.0,0.328,0.494,0.0,0.672,0.328
0.149,246,0,2075,504,1.0,0.328,0.494,0.0,0.672,0.328
0.15,245,0,2075,505,1.0,0.3267,0.4925,0.0,0.6733,0.3267
0.151,245,0,2075,505,1.0,0.3267,0.4925,0.0,0.6733,0.3267
0.152,244,0,2075,506,1.0,0.3253,0.4909,0.0,0.6747,0.3253
0.153,244,0,2075,506,1.0,0.3253,0.4909,0.0,0.6747,0.3253
0.154,242,0,2075,508,1.0,0.3227,0.4879,0.0,0.6773,0.3227
0.155,242,0,2075,508,1.0,0.3227,0.4879,0.0,0.6773,0.3227
0.156,241,0,2075,509,1.0,0.3213,0.4864,0.0,0.6787,0.3213
0.157,241,0,2075,509,1.0,0.3213,0.4864,0.0,0.6787,0.3213
0.158,241,0,2075,509,1.0,0.3213,0.4864,0.0,0.6787,0.3213
0.159,241,0,2075,509,1.0,0.3213,0.4864,0.0,0.6787,0.3213
0.16,240,0,2075,510,1.0,0.32,0.4848,0.0,0.68,0.32
0.161,240,0,2075,510,1.0,0.32,0.4848,0.0,0.68,0.32
0.162,240,0,2075,510,1.0,0.32,0.4848,0.0,0.68,0.32
0.163,239,0,2075,511,1.0,0.3187,0.4833,0.0,0.6813,0.3187
0.164,239,0,2075,511,1.0,0.3187,0.4833,0.0,0.6813,0.3187
0.165,239,0,2075,511,1.0,0.3187,0.4833,0.0,0.6813,0.3187
0.166,238,0,2075,512,1.0,0.3173,0.4818,0.0,0.6827,0.3173
0.167,238,0,2075,512,1.0,0.3173,0.4818,0.0,0.6827,0.3173
0.168,238,0,2075,512,1.0,0.3173,0.4818,0.0,0.6827,0.3173
0.169,237,0,2075,513,1.0,0.316,0.4802,0.0,0.684,0.316
0.17,236,0,2075,514,1.0,0.3147,0.4787,0.0,0.6853,0.3147
0.171,234,0,2075,516,1.0,0.312,0.4756,0.0,0.688,0.312
0.17200000000000001,233,0,2075,517,1.0,0.3107,0.4741,0.0,0.6893,0.3107
0.17300000000000001,233,0,2075,517,1.0,0.3107,0.4741,0.0,0.6893,0.3107
0.17400000000000002,232,0,2075,518,1.0,0.3093,0.4725,0.0,0.6907,0.3093
0.17500000000000002,230,0,2075,520,1.0,0.3067,0.4694,0.0,0.6933,0.3067
0.17600000000000002,229,0,2075,521,1.0,0.3053,0.4678,0.0,0.6947,0.3053
0.177,229,0,2075,521,1.0,0.3053,0.4678,0.0,0.6947,0.3053
0.178,229,0,2075,521,1.0,0.3053,0.4678,0.0,0.6947,0.3053
0.179,229,0,2075,521,1.0,0.3053,0.4678,0.0,0.6947,0.3053
0.18,226,0,2075,524,1.0,0.3013,0.4631,0.0,0.6987,0.3013
0.181,225,0,2075,525,1.0,0.3,0.4615,0.0,0.7,0.3
0.182,223,0,2075,527,1.0,0.2973,0.4584,0.0,0.7027,0.2973
0.183,221,0,2075,529,1.0,0.2947,0.4552,0.0,0.7053,0.2947
0.184,220,0,2075,530,1.0,0.2933,0.4536,0.0,0.7067,0.2933
0.185,220,0,2075,530,1.0,0.2933,0.4536,0.0,0.7067,0.2933
0.186,220,0,2075,530,1.0,0.2933,0.4536,0.0,0.7067,0.2933
0.187,219,0,2075,531,1.0,0.292,0.452,0.0,0.708,0.292
0.188,219,0,2075,531,1.0,0.292,0.452,0.0,0.708,0.292
0.189,219,0,2075,531,1.0,0.292,0.452,0.0,0.708,0.292
0.19,219,0,2075,531,1.0,0.292,0.452,0.0,0.708,0.292
0.191,219,0,2075,531,1.0,0.292,0.452,0.0,0.708,0.292
0.192,218,0,2075,532,1.0,0.2907,0.4504,0.0,0.7093,0.2907
0.193,217,0,2075,533,1.0,0.2893,0.4488,0.0,0.7107,0.2893
0.194,215,0,2075,535,1.0,0.2867,0.4456,0.0,0.7133,0.2867
0.195,215,0,2075,535,1.0,0.2867,0.4456,0.0,0.7133,0.2867
0.196,215,0,2075,535,1.0,0.2867,0.4456,0.0,0.7133,0.2867
0.197,213,0,2075,537,1.0,0.284,0.4424,0.0,0.716,0.284
0.198,213,0,2075,537,1.0,0.284,0.4424,0.0,0.716,0.284
0.199,212,0,2075,538,1.0,0.2827,0.4407,0.0,0.7173,0.2827
0.2,212,0,2075,538,1.0,0.2827,0.4407,0.0,0.7173,0.2827
0.201,212,0,2075,538,1.0,0.2827,0.4407,0.0,0.7173,0.2827
0.202,211,0,2075,539,1.0,0.2813,0.4391,0.0,0.7187,0.2813
0.203,211,0,2075,539,1.0,0.2813,0.4391,0.0,0.7187,0.2813
0.20400000000000001,210,0,2075,540,1.0,0.28,0.4375,0.0,0.72,0.28
0.20500000000000002,210,0,2075,540,1.0,0.28,0.4375,0.0,0.72,0.28
0.20600000000000002,210,0,2075,540,1.0,0.28,0.4375,0.0,0.72,0.28
0.20700000000000002,209,0,2075,541,1.0,0.2787,0.4359,0.0,0.7213,0.2787
0.20800000000000002,209,0,2075,541,1.0,0.2787,0.4359,0.0,0.7213,0.2787
0.20900000000000002,209,0,2075,541,1.0,0.2787,0.4359,0.0,0.7213,0.2787
0.21,209,0,2075,541,1.0,0.2787,0.4359,0.0,0.7213,0.2787
0.211,209,0,2075,541,1.0,0.2787,0.4359,0.0,0.7213,0.2787
0.212,209,0,2075,541,1.0,0.2787,0.4359,0.0,0.7213,0.2787
0.213,209,0,2075,541,1.0,0.2787,0.4359,0.0,0.7213,0.2787
0.214,209,0,2075,541,1.0,0.2787,0.4359,0.0,0.7213,0.2787
0.215,209,0,2075,541,1.0,0.2787,0.4359,0.0,0.7213,0.2787
0.216,209,0,2075,541,1.0,0.2787,0.4359,0.0,0.7213,0.2787
0.217,207,0,2075,543,1.0,0.276,0.4326,0.0,0.724,0.276
0.218,207,0,2075,543,1.0,0.276,0.4326,0.0,0.724,0.276
0.219,206,0,2075,544,1.0,0.2747,0.431,0.0,0.7253,0.2747
0.22,206,0,2075,544,1.0,0.2747,0.431,0.0,0.7253,0.2747
0.221,206,0,2075,544,1.0,0.2747,0.431,0.0,0.7253,0.2747
0.222,206,0,2075,544,1.0,0.2747,0.431,0.0,0.7253,0.2747
0.223,206,0,2075,544,1.0,0.2747,0.431,0.0,0.7253,0.2747
0.224,206,0,2075,544,1.0,0.2747,0.431,0.0,0.7253,0.2747
0.225,205,0,2075,545,1.0,0.2733,0.4293,0.0,0.7267,0.2733
0.226,205,0,2075,545,1.0,0.2733,0.4293,0.0,0.7267,0.2733
0.227,205,0,2075,545,1.0,0.2733,0.4293,0.0,0.7267,0.2733
0.228,205,0,2075,545,1.0,0.2733,0.4293,0.0,0.7267,0.2733
0.229,204,0,2075,546,1.0,0.272,0.4277,0.0,0.728,0.272
0.23,204,0,2075,546,1.0,0.272,0.4277,0.0,0.728,0.272
0.231,204,0,2075,546,1.0,0.272,0.4277,0.0,0.728,0.272
0.232,204,0,2075,546,1.0,0.272,0.4277,0.0,0.728,0.272
0.233,203,0,2075,547,1.0,0.2707,0.426,0.0,0.7293,0.2707
0.234,203,0,2075,547,1.0,0.2707,0.426,0.0,0.7293,0.2707
0.23500000000000001,202,0,2075,548,1.0,0.2693,0.4244,0.0,0.7307,0.2693
0.23600000000000002,202,0,2075,548,1.0,0.2693,0.4244,0.0,0.7307,0.2693
0.23700000000000002,202,0,2075,548,1.0,0.2693,0.4244,0.0,0.7307,0.2693
0.23800000000000002,202,0,2075,548,1.0,0.2693,0.4244,0.0,0.7307,0.2693
0.23900000000000002,200,0,2075,550,1.0,0.2667,0.4211,0.0,0.7333,0.2667
0.24000000000000002,199,0,2075,551,1.0,0.2653,0.4194,0.0,0.7347,0.2653
0.241,199,0,2075,551,1.0,0.2653,0.4194,0.0,0.7347,0.2653
0.242,199,0,2075,551,1.0,0.2653,0.4194,0.0,0.7347,0.2653
0.243,198,0,2075,552,1.0,0.264,0.4177,0.0,0.736,0.264
0.244,198,0,2075,552,1.0,0.264,0.4177,0.0,0.736,0.264
0.245,198,0,2075,552,1.0,0.264,0.4177,0.0,0.736,0.264
0.246,198,0,2075,552,1.0,0.264,0.4177,0.0,0.736,0.264
0.247,198,0,2075,552,1.0,0.264,0.4177,0.0,0.736,0.264
0.248,197,0,2075,553,1.0,0.2627,0.4161,0.0,0.7373,0.2627
0.249,197,0,2075,553,1.0,0.2627,0.4161,0.0,0.7373,0.2627
0.25,197,0,2075,553,1.0,0.2627,0.4161,0.0,0.7373,0.2627
0.251,196,0,2075,554,1.0,0.2613,0.4144,0.0,0.7387,0.2613
0.252,196,0,2075,554,1.0,0.2613,0.4144,0.0,0.7387,0.2613
0.253,194,0,2075,556,1.0,0.2587,0.411,0.0,0.7413,0.2587
0.254,192,0,2075,558,1.0,0.256,0.4076,0.0,0.744,0.256
0.255,192,0,2075,558,1.0,0.256,0.4076,0.0,0.744,0.256
0.256,191,0,2075,559,1.0,0.2547,0.406,0.0,0.7453,0.2547
0.257,190,0,2075,560,1.0,0.2533,0.4043,0.0,0.7467,0.2533
0.258,190,0,2075,560,1.0,0.2533,0.4043,0.0,0.7467,0.2533
0.259,190,0,2075,560,1.0,0.2533,0.4043,0.0,0.7467,0.2533
0.26,188,0,2075,562,1.0,0.2507,0.4009,0.0,0.7493,0.2507
0.261,188,0,2075,562,1.0,0.2507,0.4009,0.0,0.7493,0.2507
0.262,186,0,2075,564,1.0,0.248,0.3974,0.0,0.752,0.248
0.263,186,0,2075,564,1.0,0.248,0.3974,0.0,0.752,0.248
0.264,186,0,2075,564,1.0,0.248,0.3974,0.0,0.752,0.248
0.265,186,0,2075,564,1.0,0.248,0.3974,0.0,0.752,0.248
0.266,186,0,2075,564,1.0,0.248,0.3974,0.0,0.752,0.248
0.267,186,0,2075,564,1.0,0.248,0.3974,0.0,0.752,0.248
0.268,186,0,2075,564,1.0,0.248,0.3974,0.0,0.752,0.248
0.269,186,0,2075,564,1.0,0.248,0.3974,0.0,0.752,0.248
0.27,186,0,2075,564,1.0,0.248,0.3974,0.0,0.752,0.248
0.271,186,0,2075,564,1.0,0.248,0.3974,0.0,0.752,0.248
0.272,186,0,2075,564,1.0,0.248,0.3974,0.0,0.752,0.248
0.273,186,0,2075,564,1.0,0.248,0.3974,0.0,0.752,0.248
0.274,186,0,2075,564,1.0,0.248,0.3974,0.0,0.752,0.248
0.275,186,0,2075,564,1.0,0.248,0.3974,0.0,0.752,0.248
0.276,186,0,2075,564,1.0,0.248,0.3974,0.0,0.752,0.248
0.277,186,0,2075,564,1.0,0.248,0.3974,0.0,0.752,0.248
0.278,186,0,2075,564,1.0,0.248,0.3974,0.0,0.752,0.248
0.279,186,0,2075,564,1.0,0.248,0.3974,0.0,0.752,0.248
0.28,185,0,2075,565,1.0,0.2467,0.3957,0.0,0.7533,0.2467
0.281,185,0,2075,565,1.0,0.2467,0.3957,0.0,0.7533,0.2467
0.28200000000000003,185,0,2075,565,1.0,0.2467,0.3957,0.0,0.7533,0.2467
0.28300000000000003,185,0,2075,565,1.0,0.2467,0.3957,0.0,0.7533,0.2467
0.28400000000000003,185,0,2075,565,1.0,0.2467,0.3957,0.0,0.7533,0.2467
0.28500000000000003,185,0,2075,565,1.0,0.2467,0.3957,0.0,0.7533,0.2467
0.28600000000000003,185,0,2075,565,1.0,0.2467,0.3957,0.0,0.7533,0.2467
0.28700000000000003,183,0,2075,567,1.0,0.244,0.3923,0.0,0.756,0.244
0.28800000000000003,183,0,2075,567,1.0,0.244,0.3923,0.0,0.756,0.244
0.28900000000000003,183,0,2075,567,1.0,0.244,0.3923,0.0,0.756,0.244
0.29,183,0,2075,567,1.0,0.244,0.3923,0.0,0.756,0.244
0.291,183,0,2075,567,1.0,0.244,0.3923,0.0,0.756,0.244
0.292,183,0,2075,567,1.0,0.244,0.3923,0.0,0.756,0.244
0.293,183,0,2075,567,1.0,0.244,0.3923,0.0,0.756,0.244
0.294,183,0,2075,567,1.0,0.244,0.3923,0.0,0.756,0.244
0.295,183,0,2075,567,1.0,0.244,0.3923,0.0,0.756,0.244
0.296,183,0,2075,567,1.0,0.244,0.3923,0.0,0.756,0.244
0.297,183,0,2075,567,1.0,0.244,0.3923,0.0,0.756,0.244
0.298,183,0,2075,567,1.0,0.244,0.3923,0.0,0.756,0.244
0.299,183,0,2075,567,1.0,0.244,0.3923,0.0,0.756,0.244
0.3,183,0,2075,567,1.0,0.244,0.3923,0.0,0.756,0.244
0.301,183,0,2075,567,1.0,0.244,0.3923,0.0,0.756,0.244
0.302,183,0,2075,567,1.0,0.244,0.3923,0.0,0.756,0.244
0.303,183,0,2075,567,1.0,0.244,0.3923,0.0,0.756,0.244
0.304,182,0,2075,568,1.0,0.2427,0.3906,0.0,0.7573,0.2427
0.305,182,0,2075,568,1.0,0.2427,0.3906,0.0,0.7573,0.2427
0.306,182,0,2075,568,1.0,0.2427,0.3906,0.0,0.7573,0.2427
0.307,182,0,2075,568,1.0,0.2427,0.3906,0.0,0.7573,0.2427
0.308,182,0,2075,568,1.0,0.2427,0.3906,0.0,0.7573,0.2427
0.309,181,0,2075,569,1.0,0.2413,0.3888,0.0,0.7587,0.2413
0.31,180,0,2075,570,1.0,0.24,0.3871,0.0,0.76,0.24
0.311,180,0,2075,570,1.0,0.24,0.3871,0.0,0.76,0.24
0.312,180,0,2075,570,1.0,0.24,0.3871,0.0,0.76,0.24
0.313,180,0,2075,570,1.0,0.24,0.3871,0.0,0.76,0.24
0.314,178,0,2075,572,1.0,0.2373,0.3836,0.0,0.7627,0.2373
0.315,178,0,2075,572,1.0,0.2373,0.3836,0.0,0.7627,0.2373
0.316,178,0,2075,572,1.0,0.2373,0.3836,0.0,0.7627,0.2373
0.317,178,0,2075,572,1.0,0.2373,0.3836,0.0,0.7627,0.2373
0.318,178,0,2075,572,1.0,0.2373,0.3836,0.0,0.7627,0.2373
0.319,178,0,2075,572,1.0,0.2373,0.3836,0.0,0.7627,0.2373
0.32,178,0,2075,572,1.0,0.2373,0.3836,0.0,0.7627,0.2373
0.321,177,0,2075,573,1.0,0.236,0.3819,0.0,0.764,0.236
0.322,177,0,2075,573,1.0,0.236,0.3819,0.0,0.764,0.236
0.323,177,0,2075,573,1.0,0.236,0.3819,0.0,0.764,0.236
0.324,177,0,2075,573,1.0,0.236,0.3819,0.0,0.764,0.236
0.325,177,0,2075,573,1.0,0.236,0.3819,0.0,0.764,0.236
0.326,177,0,2075,573,1.0,0.236,0.3819,0.0,0.764,0.236
0.327,176,0,2075,574,1.0,0.2347,0.3801,0.0,0.7653,0.2347
0.328,176,0,2075,574,1.0,0.2347,0.3801,0.0,0.7653,0.2347
0.329,176,0,2075,574,1.0,0.2347,0.3801,0.0,0.7653,0.2347
0.33,175,0,2075,575,1.0,0.2333,0.3784,0.0,0.7667,0.2333
0.331,175,0,2075,575,1.0,0.2333,0.3784,0.0,0.7667,0.2333
0.332,174,0,2075,576,1.0,0.232,0.3766,0.0,0.768,0.232
