source_type,source_id,user_id,aksi,status,device,ip_address,durasi_ms,jumlah_objek,waktu,is_anomali,risk_level_source,candidate_type,anomaly_type,severity,source_record_id,mutated_features,original_values,canonical_values,raw_numeric_domain
SYNTHETIC,synth_9215,54,Verifikasi,Berhasil,PC Windows,8.8.8.8,9637.0,10.0,2025-08-11 10:07:21,False,Normal,ANOMALY_V3,external_access,Mild,synth_9215,ip_address,"{""aksi"": ""Verifikasi"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""192.168.1.43"", ""durasi_ms"": 9637.0, ""jumlah_objek"": 10.0, ""waktu"": ""2025-08-11 10:07:21""}","{""user_id"": 54.0, ""activity"": ""Verifikasi"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 9.173468897200278, ""object_count"": 2.3978952727983707, ""hour"": 17, ""day_of_week"": 0}",raw_before_log1p
SYNTHETIC,synth_14501,31,Lihat Perkara,Berhasil,Android,8.8.8.8,1412.0,6.0,2025-12-18 14:43:21,False,Normal,ANOMALY_V3,external_access,Mild,synth_14501,ip_address,"{""aksi"": ""Lihat Perkara"", ""status"": ""Berhasil"", ""device"": ""Android"", ""ip_address"": ""192.168.1.89"", ""durasi_ms"": 1412.0, ""jumlah_objek"": 6.0, ""waktu"": ""2025-12-18 14:43:21""}","{""user_id"": 31.0, ""activity"": ""Kelola Perkara"", ""status"": ""Berhasil"", ""device"": ""Android"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 7.253470382684528, ""object_count"": 1.9459101490553132, ""hour"": 21, ""day_of_week"": 3}",raw_before_log1p
SYNTHETIC,synth_3398,61,Logout,Berhasil,Android,8.8.8.8,903.0,1.0,2025-03-22 13:52:40,False,Normal,ANOMALY_V3,external_access,Mild,synth_3398,ip_address,"{""aksi"": ""Logout"", ""status"": ""Berhasil"", ""device"": ""Android"", ""ip_address"": ""192.168.1.99"", ""durasi_ms"": 903.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-03-22 13:52:40""}","{""user_id"": 61.0, ""activity"": ""Logout"", ""status"": ""Berhasil"", ""device"": ""Android"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 6.806829360392176, ""object_count"": 0.6931471805599453, ""hour"": 20, ""day_of_week"": 5}",raw_before_log1p
SYNTHETIC,synth_1526,25,Login,Berhasil,iPhone,8.8.8.8,1425.0,1.0,2025-02-05 16:41:51,False,Normal,ANOMALY_V3,external_access,Mild,synth_1526,ip_address,"{""aksi"": ""Login"", ""status"": ""Berhasil"", ""device"": ""iPhone"", ""ip_address"": ""192.168.1.52"", ""durasi_ms"": 1425.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-02-05 16:41:51""}","{""user_id"": 25.0, ""activity"": ""Login"", ""status"": ""Berhasil"", ""device"": ""iOS"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 7.262628600974241, ""object_count"": 0.6931471805599453, ""hour"": 23, ""day_of_week"": 2}",raw_before_log1p
SYNTHETIC,synth_9689,27,Cari Berkas,Berhasil,Laptop Windows,8.8.8.8,1361.0,10.0,2025-08-22 15:55:10,False,Normal,ANOMALY_V3,external_access,Mild,synth_9689,ip_address,"{""aksi"": ""Cari Berkas"", ""status"": ""Berhasil"", ""device"": ""Laptop Windows"", ""ip_address"": ""192.168.1.116"", ""durasi_ms"": 1361.0, ""jumlah_objek"": 10.0, ""waktu"": ""2025-08-22 15:55:10""}","{""user_id"": 27.0, ""activity"": ""Akses Berkas"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 7.216709486709457, ""object_count"": 2.3978952727983707, ""hour"": 22, ""day_of_week"": 4}",raw_before_log1p
SYNTHETIC,synth_3424,23,Lihat Perkara,Berhasil,Laptop Windows,8.8.8.8,903.0,8.0,2025-03-23 08:07:42,False,Normal,ANOMALY_V3,external_access,Mild,synth_3424,ip_address,"{""aksi"": ""Lihat Perkara"", ""status"": ""Berhasil"", ""device"": ""Laptop Windows"", ""ip_address"": ""192.168.1.131"", ""durasi_ms"": 903.0, ""jumlah_objek"": 8.0, ""waktu"": ""2025-03-23 08:07:42""}","{""user_id"": 23.0, ""activity"": ""Kelola Perkara"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 6.806829360392176, ""object_count"": 2.1972245773362196, ""hour"": 15, ""day_of_week"": 6}",raw_before_log1p
SYNTHETIC,synth_10330,86,Lihat Perkara,Berhasil,Android,8.8.8.8,3069.0,1.0,2025-09-07 09:50:02,False,Normal,ANOMALY_V3,external_access,Mild,synth_10330,ip_address,"{""aksi"": ""Lihat Perkara"", ""status"": ""Berhasil"", ""device"": ""Android"", ""ip_address"": ""192.168.1.154"", ""durasi_ms"": 3069.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-09-07 09:50:02""}","{""user_id"": 86.0, ""activity"": ""Kelola Perkara"", ""status"": ""Berhasil"", ""device"": ""Android"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 8.029432840581244, ""object_count"": 0.6931471805599453, ""hour"": 16, ""day_of_week"": 6}",raw_before_log1p
SYNTHETIC,synth_1536,68,Cari Berkas,Berhasil,PC Windows,8.8.8.8,3099.0,4.0,2025-02-06 07:36:51,False,Normal,ANOMALY_V3,external_access,Mild,synth_1536,ip_address,"{""aksi"": ""Cari Berkas"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""192.168.1.18"", ""durasi_ms"": 3099.0, ""jumlah_objek"": 4.0, ""waktu"": ""2025-02-06 07:36:51""}","{""user_id"": 68.0, ""activity"": ""Akses Berkas"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 8.039157390473237, ""object_count"": 1.6094379124341003, ""hour"": 14, ""day_of_week"": 3}",raw_before_log1p
SYNTHETIC,synth_7580,80,Login,Berhasil,PC Windows,8.8.8.8,1261.0,1.0,2025-07-03 12:39:54,False,Normal,ANOMALY_V3,external_access,Mild,synth_7580,ip_address,"{""aksi"": ""Login"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""192.168.1.58"", ""durasi_ms"": 1261.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-07-03 12:39:54""}","{""user_id"": 80.0, ""activity"": ""Login"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 7.140453043101158, ""object_count"": 0.6931471805599453, ""hour"": 19, ""day_of_week"": 3}",raw_before_log1p
SYNTHETIC,synth_11716,55,Lihat Berkas,Berhasil,PC Windows,8.8.8.8,4769.0,10.0,2025-10-10 14:29:14,False,Normal,ANOMALY_V3,external_access,Mild,synth_11716,ip_address,"{""aksi"": ""Lihat Berkas"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""192.168.1.92"", ""durasi_ms"": 4769.0, ""jumlah_objek"": 10.0, ""waktu"": ""2025-10-10 14:29:14""}","{""user_id"": 55.0, ""activity"": ""Akses Berkas"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 8.470101583882387, ""object_count"": 2.3978952727983707, ""hour"": 21, ""day_of_week"": 4}",raw_before_log1p
SYNTHETIC,synth_5976,65,Logout,Berhasil,Windows,8.8.8.8,943.0,1.0,2025-05-26 15:34:47,False,Normal,ANOMALY_V3,external_access,Mild,synth_5976,ip_address,"{""aksi"": ""Logout"", ""status"": ""Berhasil"", ""device"": ""Windows"", ""ip_address"": ""192.168.1.60"", ""durasi_ms"": 943.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-05-26 15:34:47""}","{""user_id"": 65.0, ""activity"": ""Logout"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 6.8501261661455, ""object_count"": 0.6931471805599453, ""hour"": 22, ""day_of_week"": 0}",raw_before_log1p
SYNTHETIC,synth_7147,20,Login,Berhasil,iPhone,8.8.8.8,330.0,1.0,2025-06-23 10:32:43,False,Normal,ANOMALY_V3,external_access,Mild,synth_7147,ip_address,"{""aksi"": ""Login"", ""status"": ""Berhasil"", ""device"": ""iPhone"", ""ip_address"": ""192.168.1.110"", ""durasi_ms"": 330.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-06-23 10:32:43""}","{""user_id"": 20.0, ""activity"": ""Login"", ""status"": ""Berhasil"", ""device"": ""iOS"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 5.802118375377063, ""object_count"": 0.6931471805599453, ""hour"": 17, ""day_of_week"": 0}",raw_before_log1p
SYNTHETIC,synth_8269,57,Cari Berkas,Berhasil,PC Windows,8.8.8.8,3845.0,5.0,2025-07-19 11:20:45,False,Normal,ANOMALY_V3,external_access,Mild,synth_8269,ip_address,"{""aksi"": ""Cari Berkas"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""192.168.1.181"", ""durasi_ms"": 3845.0, ""jumlah_objek"": 5.0, ""waktu"": ""2025-07-19 11:20:45""}","{""user_id"": 57.0, ""activity"": ""Akses Berkas"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 8.254788926148725, ""object_count"": 1.791759469228055, ""hour"": 18, ""day_of_week"": 5}",raw_before_log1p
SYNTHETIC,synth_1763,47,Logout,Berhasil,Windows,8.8.8.8,640.0,1.0,2025-02-10 14:57:39,False,Normal,ANOMALY_V3,external_access,Mild,synth_1763,ip_address,"{""aksi"": ""Logout"", ""status"": ""Berhasil"", ""device"": ""Windows"", ""ip_address"": ""192.168.1.13"", ""durasi_ms"": 640.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-02-10 14:57:39""}","{""user_id"": 47.0, ""activity"": ""Logout"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 6.46302945692067, ""object_count"": 0.6931471805599453, ""hour"": 21, ""day_of_week"": 0}",raw_before_log1p
SYNTHETIC,synth_10684,54,Logout,Berhasil,PC Windows,8.8.8.8,1136.0,1.0,2025-09-15 16:31:30,False,Normal,ANOMALY_V3,external_access,Mild,synth_10684,ip_address,"{""aksi"": ""Logout"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""192.168.1.43"", ""durasi_ms"": 1136.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-09-15 16:31:30""}","{""user_id"": 54.0, ""activity"": ""Logout"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 7.036148493750536, ""object_count"": 0.6931471805599453, ""hour"": 23, ""day_of_week"": 0}",raw_before_log1p
SYNTHETIC,synth_4226,34,Lihat Perkara,Berhasil,PC Windows,8.8.8.8,3610.0,8.0,2025-04-11 14:05:09,False,Normal,ANOMALY_V3,external_access,Mild,synth_4226,ip_address,"{""aksi"": ""Lihat Perkara"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""192.168.1.28"", ""durasi_ms"": 3610.0, ""jumlah_objek"": 8.0, ""waktu"": ""2025-04-11 14:05:09""}","{""user_id"": 34.0, ""activity"": ""Kelola Perkara"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 8.191740021277457, ""object_count"": 2.1972245773362196, ""hour"": 21, ""day_of_week"": 4}",raw_before_log1p
SYNTHETIC,synth_9421,29,Login,Berhasil,Windows,8.8.8.8,1704.0,1.0,2025-08-15 11:06:53,False,Normal,ANOMALY_V3,external_access,Mild,synth_9421,ip_address,"{""aksi"": ""Login"", ""status"": ""Berhasil"", ""device"": ""Windows"", ""ip_address"": ""192.168.1.196"", ""durasi_ms"": 1704.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-08-15 11:06:53""}","{""user_id"": 29.0, ""activity"": ""Login"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 7.4413203897176174, ""object_count"": 0.6931471805599453, ""hour"": 18, ""day_of_week"": 4}",raw_before_log1p
SYNTHETIC,synth_11814,72,Login,Berhasil,Android,8.8.8.8,1557.0,1.0,2025-10-13 10:35:56,False,Normal,ANOMALY_V3,external_access,Mild,synth_11814,ip_address,"{""aksi"": ""Login"", ""status"": ""Berhasil"", ""device"": ""Android"", ""ip_address"": ""192.168.1.103"", ""durasi_ms"": 1557.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-10-13 10:35:56""}","{""user_id"": 72.0, ""activity"": ""Login"", ""status"": ""Berhasil"", ""device"": ""Android"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 7.351158226430694, ""object_count"": 0.6931471805599453, ""hour"": 17, ""day_of_week"": 0}",raw_before_log1p
SYNTHETIC,synth_10333,69,Login,Berhasil,Laptop Windows,8.8.8.8,578.0,1.0,2025-09-07 11:40:43,False,Normal,ANOMALY_V3,external_access,Mild,synth_10333,ip_address,"{""aksi"": ""Login"", ""status"": ""Berhasil"", ""device"": ""Laptop Windows"", ""ip_address"": ""192.168.1.235"", ""durasi_ms"": 578.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-09-07 11:40:43""}","{""user_id"": 69.0, ""activity"": ""Login"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 6.361302477572996, ""object_count"": 0.6931471805599453, ""hour"": 18, ""day_of_week"": 6}",raw_before_log1p
SYNTHETIC,synth_7171,28,Cari Berkas,Berhasil,iPhone,8.8.8.8,5242.0,2.0,2025-06-24 08:03:25,False,Normal,ANOMALY_V3,external_access,Mild,synth_7171,ip_address,"{""aksi"": ""Cari Berkas"", ""status"": ""Berhasil"", ""device"": ""iPhone"", ""ip_address"": ""192.168.1.73"", ""durasi_ms"": 5242.0, ""jumlah_objek"": 2.0, ""waktu"": ""2025-06-24 08:03:25""}","{""user_id"": 28.0, ""activity"": ""Akses Berkas"", ""status"": ""Berhasil"", ""device"": ""iOS"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 8.564649132572534, ""object_count"": 1.0986122886681098, ""hour"": 15, ""day_of_week"": 1}",raw_before_log1p
SYNTHETIC,synth_1002,63,Lihat Perkara,Berhasil,iPhone,8.8.8.8,1965.0,1.0,2025-01-23 10:08:14,False,Normal,ANOMALY_V3,external_access,Mild,synth_1002,ip_address,"{""aksi"": ""Lihat Perkara"", ""status"": ""Berhasil"", ""device"": ""iPhone"", ""ip_address"": ""192.168.1.58"", ""durasi_ms"": 1965.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-01-23 10:08:14""}","{""user_id"": 63.0, ""activity"": ""Kelola Perkara"", ""status"": ""Berhasil"", ""device"": ""iOS"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 7.583756300707112, ""object_count"": 0.6931471805599453, ""hour"": 17, ""day_of_week"": 3}",raw_before_log1p
SYNTHETIC,synth_14447,56,Lihat Perkara,Berhasil,Laptop Windows,8.8.8.8,5124.0,8.0,2025-12-17 11:14:43,False,Normal,ANOMALY_V3,external_access,Mild,synth_14447,ip_address,"{""aksi"": ""Lihat Perkara"", ""status"": ""Berhasil"", ""device"": ""Laptop Windows"", ""ip_address"": ""192.168.1.173"", ""durasi_ms"": 5124.0, ""jumlah_objek"": 8.0, ""waktu"": ""2025-12-17 11:14:43""}","{""user_id"": 56.0, ""activity"": ""Kelola Perkara"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 8.54188580400661, ""object_count"": 2.1972245773362196, ""hour"": 18, ""day_of_week"": 2}",raw_before_log1p
SYNTHETIC,synth_9760,33,Logout,Berhasil,Laptop Windows,8.8.8.8,658.0,1.0,2025-08-25 07:15:28,False,Normal,ANOMALY_V3,external_access,Mild,synth_9760,ip_address,"{""aksi"": ""Logout"", ""status"": ""Berhasil"", ""device"": ""Laptop Windows"", ""ip_address"": ""192.168.1.247"", ""durasi_ms"": 658.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-08-25 07:15:28""}","{""user_id"": 33.0, ""activity"": ""Logout"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 6.490723534502507, ""object_count"": 0.6931471805599453, ""hour"": 14, ""day_of_week"": 0}",raw_before_log1p
SYNTHETIC,synth_12745,62,Logout,Berhasil,PC Windows,8.8.8.8,569.0,1.0,2025-11-04 13:55:03,False,Normal,ANOMALY_V3,external_access,Mild,synth_12745,ip_address,"{""aksi"": ""Logout"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""192.168.1.238"", ""durasi_ms"": 569.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-11-04 13:55:03""}","{""user_id"": 62.0, ""activity"": ""Logout"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 6.345636360828596, ""object_count"": 0.6931471805599453, ""hour"": 20, ""day_of_week"": 1}",raw_before_log1p
SYNTHETIC,synth_1384,79,Cari Berkas,Berhasil,iPhone,8.8.8.8,4086.0,8.0,2025-02-01 15:14:18,False,Normal,ANOMALY_V3,external_access,Mild,synth_1384,ip_address,"{""aksi"": ""Cari Berkas"", ""status"": ""Berhasil"", ""device"": ""iPhone"", ""ip_address"": ""192.168.1.104"", ""durasi_ms"": 4086.0, ""jumlah_objek"": 8.0, ""waktu"": ""2025-02-01 15:14:18""}","{""user_id"": 79.0, ""activity"": ""Akses Berkas"", ""status"": ""Berhasil"", ""device"": ""iOS"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 8.315566483564277, ""object_count"": 2.1972245773362196, ""hour"": 22, ""day_of_week"": 5}",raw_before_log1p
SYNTHETIC,synth_10900,83,Login,Gagal,Windows,8.8.8.8,1328.0,1.0,2025-09-21 14:48:50,False,Normal,ANOMALY_V3,external_access,Mild,synth_10900,ip_address,"{""aksi"": ""Login"", ""status"": ""Gagal"", ""device"": ""Windows"", ""ip_address"": ""192.168.1.222"", ""durasi_ms"": 1328.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-09-21 14:48:50""}","{""user_id"": 83.0, ""activity"": ""Login"", ""status"": ""Gagal"", ""device"": ""PC Windows"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 7.192182058713246, ""object_count"": 0.6931471805599453, ""hour"": 21, ""day_of_week"": 6}",raw_before_log1p
SYNTHETIC,synth_6948,26,Cari Berkas,Berhasil,iPhone,8.8.8.8,3411.0,9.0,2025-06-18 13:25:07,False,Normal,ANOMALY_V3,external_access,Mild,synth_6948,ip_address,"{""aksi"": ""Cari Berkas"", ""status"": ""Berhasil"", ""device"": ""iPhone"", ""ip_address"": ""192.168.1.109"", ""durasi_ms"": 3411.0, ""jumlah_objek"": 9.0, ""waktu"": ""2025-06-18 13:25:07""}","{""user_id"": 26.0, ""activity"": ""Akses Berkas"", ""status"": ""Berhasil"", ""device"": ""iOS"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 8.13505390861157, ""object_count"": 2.302585092994046, ""hour"": 20, ""day_of_week"": 2}",raw_before_log1p
SYNTHETIC,synth_9505,28,Lihat Perkara,Berhasil,iPhone,8.8.8.8,1466.0,8.0,2025-08-18 08:07:24,False,Normal,ANOMALY_V3,external_access,Mild,synth_9505,ip_address,"{""aksi"": ""Lihat Perkara"", ""status"": ""Berhasil"", ""device"": ""iPhone"", ""ip_address"": ""192.168.1.73"", ""durasi_ms"": 1466.0, ""jumlah_objek"": 8.0, ""waktu"": ""2025-08-18 08:07:24""}","{""user_id"": 28.0, ""activity"": ""Kelola Perkara"", ""status"": ""Berhasil"", ""device"": ""iOS"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 7.2909747781429814, ""object_count"": 2.1972245773362196, ""hour"": 15, ""day_of_week"": 0}",raw_before_log1p
