Index,Anomaly Type,Perturbation_Magnitude_L2,Max_Abs_Z_Score,Reconstruction_MSE
9120,ANOMALY,3.549661,2.3433917,0.76897335
9712,ANOMALY,5.405798,4.7578855,0.15379865
6543,ANOMALY,6.8001127,6.0606217,0.447289
11548,ANOMALY,3.0762148,2.0683417,0.007784536
5272,ANOMALY,6.894441,5.989769,0.10146848
9156,ANOMALY,3.2973578,2.3433917,0.7766755
1227,ANOMALY,3.0219195,2.7214367,0.038693663
11211,ANOMALY,4.2630696,3.3083744,0.08081958
8229,ANOMALY,1.9418386,1.1126784,0.036947954
3867,ANOMALY,2.792928,1.6326295,0.005779405
3511,ANOMALY,3.4182374,2.1360505,0.013587926
4794,ANOMALY,2.638495,1.5039368,0.016678281
11834,ANOMALY,2.3232791,1.254092,0.00918725
4780,ANOMALY,3.9192748,3.0149057,0.02780254
14900,ANOMALY,2.652759,1.534181,0.022091132
3311,ANOMALY,3.4481268,2.3433917,0.679231
3697,ANOMALY,3.7576783,2.3433917,0.74975765
0,ANOMALY,3.4756975,2.4279678,0.056194093
3473,ANOMALY,3.09055,1.534181,0.006717824
8995,ANOMALY,5.3326735,5.1017365,0.24625322
8283,ANOMALY,7.027059,5.989769,0.08799828
14094,ANOMALY,5.8292356,5.001205,0.25746128
4540,ANOMALY,3.3585045,2.3433917,0.76526326
12761,ANOMALY,3.2648745,2.3433917,0.77818894
640,ANOMALY,2.1390374,1.3871284,0.03845486
6193,ANOMALY,3.3473613,2.1148372,0.042538017
13125,ANOMALY,3.1241279,2.7214367,0.033934526
10604,ANOMALY,3.7410707,2.8030667,0.14240812
13543,ANOMALY,2.793155,1.5535238,0.031327583
1582,ANOMALY,2.5806594,1.9764241,0.063553914
4338,ANOMALY,3.3849423,2.7214367,0.006562991
1160,ANOMALY,2.882708,2.1344988,0.022660723
11830,ANOMALY,2.7332795,1.8410299,0.008262863
5035,ANOMALY,2.1485524,1.1126784,0.04054721
8591,ANOMALY,2.4642015,1.4037734,0.023632078
7129,ANOMALY,2.7091713,1.534181,0.029030595
928,ANOMALY,6.787209,5.989769,0.014746615
14436,ANOMALY,3.3370836,3.0149057,0.006124057
1707,ANOMALY,6.6487803,5.989769,0.01805498
8796,ANOMALY,4.499636,4.1431923,0.083797045
10389,ANOMALY,2.97459,1.7794969,0.017961446
7783,ANOMALY,3.923465,3.221472,0.25307167
3916,ANOMALY,3.3722851,2.296601,0.0628824
2299,ANOMALY,5.4702168,4.9661818,0.20249239
733,ANOMALY,5.0151305,4.4688067,0.106323466
8063,ANOMALY,3.4696252,2.3433917,0.779149
1216,ANOMALY,2.680052,1.4321377,0.023065424
2799,ANOMALY,3.485419,2.1344988,0.043802854
14250,ANOMALY,3.7223268,3.0149057,0.0457998
3092,ANOMALY,3.4126658,2.0683417,0.021554863
14582,ANOMALY,6.4870124,5.9984426,0.32803673
11237,ANOMALY,2.768311,2.4279678,0.053920653
4715,ANOMALY,2.7623734,2.1048813,0.024944821
13697,ANOMALY,2.842674,1.4321377,0.047252085
8299,ANOMALY,4.1481266,2.3433917,0.799978
3500,ANOMALY,2.3044076,1.534181,0.012636484
4690,ANOMALY,2.6145625,1.9764241,0.050210696
13857,ANOMALY,2.4099426,1.8410299,0.008771416
3268,ANOMALY,3.600262,2.3433917,0.80175203
3979,ANOMALY,4.3205595,3.3083744,0.0287985
1501,ANOMALY,3.2235472,2.3433917,0.91837627
303,ANOMALY,2.3188212,1.5475609,0.007250766
4864,ANOMALY,3.3957136,2.7280679,0.10816041
1844,ANOMALY,3.180713,2.7214367,0.020030178
13098,ANOMALY,3.1204243,2.3433917,0.72206426
13487,ANOMALY,7.125936,5.989769,0.112485684
9572,ANOMALY,3.3844774,2.3433917,0.6089961
13470,ANOMALY,3.9097443,2.3433917,0.761259
1565,ANOMALY,2.2902493,1.8410299,0.00752465
1551,ANOMALY,3.4900804,2.3433917,0.681343
6350,ANOMALY,3.6905565,2.3433917,0.81458014
1607,ANOMALY,3.104823,1.8410299,0.035619363
4892,ANOMALY,3.482413,2.3433917,0.7876316
12183,ANOMALY,2.4119484,1.7794969,0.0070328433
13981,ANOMALY,3.4718852,2.4279678,0.014786488
9183,ANOMALY,3.0287113,1.7577277,0.043033514
4647,ANOMALY,3.2748225,2.3433917,0.86886525
9690,ANOMALY,3.7387486,3.3083744,0.026590629
757,ANOMALY,5.1819606,4.655744,0.5726729
12523,ANOMALY,2.8579926,2.0683417,0.01273926
5584,ANOMALY,3.9857388,2.3433917,0.8378382
7500,ANOMALY,3.5488238,2.3433917,0.8201835
6426,ANOMALY,2.5157716,1.4037734,0.00892819
8436,ANOMALY,2.8762445,2.4341578,0.06528648
2187,ANOMALY,2.0121799,1.5475609,0.0030798316
7380,ANOMALY,2.4052136,1.8410299,0.011324701
2002,ANOMALY,3.4380155,2.3433917,0.79033196
1428,ANOMALY,3.1627245,1.7473447,0.009845745
1220,ANOMALY,3.340378,2.3433917,0.7880414
12951,ANOMALY,5.031827,4.173114,0.12794563
2093,ANOMALY,2.5724938,1.4037734,0.013956051
12316,ANOMALY,1.8881059,1.4321377,0.049290344
9444,ANOMALY,3.3806844,2.283775,0.09828586
1728,ANOMALY,3.6601024,2.3433917,0.7854937
405,ANOMALY,4.716053,3.8068767,0.07378253
6884,ANOMALY,3.2921576,2.0683417,0.113891445
1037,ANOMALY,3.342332,2.3433917,0.7678716
387,ANOMALY,1.9520996,1.1126784,0.041864384
5401,ANOMALY,3.5256171,2.4279678,0.09369723
10094,ANOMALY,6.9377384,5.989769,0.07284759
13251,ANOMALY,3.9761994,3.3083744,0.014254112
14368,ANOMALY,2.557857,1.534181,0.031023694
4609,ANOMALY,2.824998,1.4037734,0.030766748
4478,ANOMALY,2.4302435,1.7488825,0.01186576
8919,ANOMALY,3.1682308,1.9150865,0.087692685
9614,ANOMALY,3.0443292,2.4279678,0.041906033
288,ANOMALY,3.709081,2.3433917,0.6873923
10200,ANOMALY,3.2861333,2.1776867,0.0965728
11953,ANOMALY,3.163695,2.3433917,0.7769363
725,ANOMALY,2.4349272,1.931563,0.020840146
8891,ANOMALY,3.8175466,3.3083744,0.006570322
13417,ANOMALY,5.047563,4.7167916,0.17499614
3504,ANOMALY,3.641875,2.1249344,0.08812502
4781,ANOMALY,2.9946902,2.1344988,0.0057797874
8524,ANOMALY,2.133752,1.0936594,0.002885863
12984,ANOMALY,3.0983853,2.0553408,0.024579607
3668,ANOMALY,3.383506,2.1344988,0.0610107
7394,ANOMALY,3.5912502,2.3433917,0.78110015
7223,ANOMALY,3.016268,2.7214367,0.03239404
13184,ANOMALY,3.428476,2.8869085,0.16878018
4356,ANOMALY,6.730319,5.989769,0.12737247
2450,ANOMALY,3.88828,2.3433917,0.7410093
785,ANOMALY,2.7035918,1.5039368,0.030959437
9235,ANOMALY,6.8843346,5.989769,0.87450707
2178,ANOMALY,5.784156,5.677088,0.26408118
4226,ANOMALY,3.7897708,3.132377,0.18001276
3781,ANOMALY,4.358333,2.3433917,0.7939329
5893,ANOMALY,4.0745864,2.3433917,0.6616449
1655,ANOMALY,2.3010616,1.5039368,0.046170607
187,ANOMALY,2.9779835,2.1344988,0.009612828
12947,ANOMALY,6.0383306,5.396141,0.30061114
12236,ANOMALY,4.910451,4.1623397,0.41112936
3284,ANOMALY,3.6184843,2.3043723,0.020740412
13336,ANOMALY,3.221723,2.3433917,0.7350827
8837,ANOMALY,2.9665039,2.3433917,0.824112
5708,ANOMALY,2.4107103,1.8410299,0.010774521
683,ANOMALY,2.7566416,2.1344988,0.019332044
12567,ANOMALY,6.827426,5.989769,0.047721557
2533,ANOMALY,4.729038,4.3145843,0.11848327
12141,ANOMALY,3.6737497,2.3433917,0.79320604
8778,ANOMALY,2.9489036,1.4702753,0.003205911
11305,ANOMALY,2.5522168,2.0036771,0.08263179
14054,ANOMALY,3.5954487,2.1344988,0.07517931
2578,ANOMALY,2.878764,1.534181,0.031489775
346,ANOMALY,3.2370424,3.0149057,0.011305894
6479,ANOMALY,3.1466126,2.3433917,0.7088737
13408,ANOMALY,1.931883,0.9606231,0.0044714645
11078,ANOMALY,3.6195028,2.3433917,0.6515936
9908,ANOMALY,2.6658769,2.2468786,0.061645813
7419,ANOMALY,5.240893,4.8560677,0.1570339
1796,ANOMALY,2.4979107,2.1344988,0.014362352
9293,ANOMALY,2.2839363,1.0936594,0.007497577
4375,ANOMALY,2.7870438,1.6424291,0.034572717
6577,ANOMALY,3.0146914,2.7214367,0.017013047
7604,ANOMALY,3.3813975,2.4279678,0.10939267
13410,ANOMALY,3.5312977,2.3433917,0.7598936
7317,ANOMALY,6.5291953,5.989769,0.096610814
3902,ANOMALY,5.249265,4.7780285,0.19672987
8253,ANOMALY,4.0167327,3.0149057,0.019857747
5984,ANOMALY,4.024652,3.0149057,0.10095419
1080,ANOMALY,6.5593786,5.989769,0.023244902
3930,ANOMALY,2.4792843,1.5979764,0.018364219
14210,ANOMALY,2.2480018,1.8410299,0.0062544737
9835,ANOMALY,3.0615911,2.3433917,0.812947
5824,ANOMALY,2.793182,1.7794969,0.047040485
14282,ANOMALY,4.771106,3.8802683,0.18622741
927,ANOMALY,2.4993105,2.1344988,0.016672604
8489,ANOMALY,3.482452,2.3433917,0.77297807
11485,ANOMALY,4.068793,3.3083744,0.012095791
14267,ANOMALY,5.5946746,5.1496453,0.19099067
7534,ANOMALY,2.669793,1.7488825,0.01429023
4702,ANOMALY,3.431401,2.4279678,0.056413636
123,ANOMALY,3.180286,2.7214367,0.027199447
3783,ANOMALY,3.944856,3.3083744,0.017131953
2654,ANOMALY,3.6847026,2.3433917,0.74460876
6875,ANOMALY,7.2333093,5.989769,0.058679342
12333,ANOMALY,3.9805992,2.9190102,0.17980897
14015,ANOMALY,1.9583093,0.96394795,0.046267644
6844,ANOMALY,3.1413634,2.3365273,0.051230326
8536,ANOMALY,3.451041,2.4279678,0.039595418
1399,ANOMALY,3.1374037,2.3433917,0.7781598
9001,ANOMALY,2.6291256,2.283775,0.07586607
11936,ANOMALY,1.9439065,1.0936594,0.013138031
2373,ANOMALY,2.39123,1.8410299,0.009918381
3259,ANOMALY,3.7952225,3.0149057,0.012401076
14059,ANOMALY,4.051222,2.3433917,0.8519072
10463,ANOMALY,6.511668,5.989769,0.013410874
4863,ANOMALY,3.8794436,3.1755314,0.20332888
10246,ANOMALY,3.3965564,2.3433917,0.78674006
7663,ANOMALY,2.9168625,2.3433917,0.76530504
12993,ANOMALY,2.7520967,1.7562479,0.010974105
7610,ANOMALY,3.3732367,2.1668189,0.06244661
11166,ANOMALY,3.2589867,1.8710417,0.026804335
4924,ANOMALY,4.5218124,4.202466,0.11661194
244,ANOMALY,3.320541,1.8410299,0.020620966
3412,ANOMALY,3.776344,3.0149057,0.004790657
12687,ANOMALY,3.5610194,2.1588216,0.01959013
3279,ANOMALY,3.8775826,2.4302795,0.060944896
4074,ANOMALY,3.1361916,2.7214367,0.018255495
4534,ANOMALY,2.8888965,1.5039368,0.031226652
2037,ANOMALY,4.4328685,3.0149057,0.1776318
9182,ANOMALY,3.194608,2.3433917,0.7585757
12100,ANOMALY,3.6026833,3.0149057,0.0039928574
10216,ANOMALY,3.623464,3.3083744,0.0076326313
14521,ANOMALY,3.7919106,2.3365273,0.13123485
949,ANOMALY,6.6069717,5.989769,0.7731291
10195,ANOMALY,4.221613,2.9488459,0.35507086
10827,ANOMALY,2.7121916,2.1344988,0.010564902
6912,ANOMALY,3.162047,1.7488825,0.06368003
10096,ANOMALY,3.3151467,2.1344988,0.06793055
1353,ANOMALY,2.834626,2.0298824,0.07809469
12892,ANOMALY,1.9523697,1.3871284,0.032472685
14968,ANOMALY,2.2340353,1.5475609,0.005704974
7803,ANOMALY,2.1882665,1.0545521,0.10906991
5508,ANOMALY,3.276082,3.0149057,0.037076287
7006,ANOMALY,5.9497457,5.5369053,0.34038872
12565,ANOMALY,2.5992246,2.1344988,0.016645132
4629,ANOMALY,3.0158715,2.4279678,0.0018598181
5296,ANOMALY,3.6558237,2.3433917,0.7581098
8051,ANOMALY,7.0930715,5.989769,0.10185891
4852,ANOMALY,2.804103,2.1344988,0.02125617
6154,ANOMALY,3.1016018,2.4279678,0.0032345215
11220,ANOMALY,4.731317,3.8737168,0.2342209
14690,ANOMALY,3.4511611,2.3433917,0.71051943
7826,ANOMALY,3.1325343,2.5057096,0.086063296
1087,ANOMALY,3.0131612,2.3433917,0.8232007
7434,ANOMALY,2.5393267,1.5039368,0.0029110261
10969,ANOMALY,2.9069662,1.4037734,0.007824966
8290,ANOMALY,3.90108,2.1148372,0.041809265
1118,ANOMALY,3.2837467,2.3433917,0.74890894
6402,ANOMALY,3.457728,2.3433917,0.78191483
6160,ANOMALY,2.9338639,1.509071,0.05132187
3512,ANOMALY,2.0756776,1.254092,0.027726896
2500,ANOMALY,1.9034997,0.99758375,0.011257552
6386,ANOMALY,3.0471685,2.3433917,0.8878323
9462,ANOMALY,3.1258864,2.3433917,0.8056337
8207,ANOMALY,3.9127405,3.0149057,0.12535787
8702,ANOMALY,3.9639785,2.5413086,0.088381566
470,ANOMALY,4.7106957,3.221472,0.31857362
12804,ANOMALY,2.7979765,2.4279678,0.016837016
10051,ANOMALY,2.4913392,1.5039368,0.029946145
8804,ANOMALY,3.0013924,2.7827768,0.06420186
7692,ANOMALY,6.0978765,5.362657,0.5002191
14985,ANOMALY,5.9510164,5.42271,0.38926417
26,ANOMALY,3.008266,2.3433917,0.81839573
10141,ANOMALY,3.4397726,2.3433917,0.8071509
12900,ANOMALY,3.5388963,3.0149057,0.01194927
2440,ANOMALY,3.6077373,2.5413086,0.06426975
13173,ANOMALY,2.2377236,1.8410299,0.007357675
14372,ANOMALY,2.337469,1.534181,0.046653766
4216,ANOMALY,2.9344752,2.0683417,0.0028060933
10129,ANOMALY,3.440929,1.7488825,0.014348816
10927,ANOMALY,3.1450934,2.7214367,0.012650501
8382,ANOMALY,5.0036955,4.655744,0.5370404
13215,ANOMALY,3.6627455,3.3083744,0.0061426405
2821,ANOMALY,6.0868936,5.677088,0.31258196
11810,ANOMALY,2.7058952,1.6043146,0.0076764226
2946,ANOMALY,2.6989987,2.4279678,0.04411137
1328,ANOMALY,2.2667644,1.5475609,0.0030984592
5446,ANOMALY,3.3024118,3.0149057,0.03905056
522,ANOMALY,3.69156,2.3433917,0.92419124
14087,ANOMALY,3.0586288,2.0388365,0.03426618
7302,ANOMALY,1.8931199,1.4321377,0.053258225
8325,ANOMALY,2.7311506,1.5475609,0.005239316
11270,ANOMALY,3.2443562,3.0149057,0.022736993
4510,ANOMALY,3.0002306,1.4321377,0.04017965
9852,ANOMALY,3.7685273,3.3803127,0.25474194
6357,ANOMALY,4.7455125,4.173114,0.14905977
3811,ANOMALY,3.664383,2.3433917,0.7846811
4851,ANOMALY,3.189745,2.4279678,0.029700492
3025,ANOMALY,3.2192354,2.1360505,0.012674597
211,ANOMALY,3.6330352,2.3433917,0.75595665
6753,ANOMALY,3.016432,1.7488825,0.01911065
337,ANOMALY,5.773814,4.930344,0.25518775
9112,ANOMALY,2.3409677,1.5469193,0.016841091
8282,ANOMALY,4.2407446,3.0149057,0.018467076
13276,ANOMALY,7.154837,5.989769,0.14173666
3864,ANOMALY,2.9883928,2.3433917,0.7948007
9299,ANOMALY,3.2650049,2.3433917,0.6632283
5095,ANOMALY,2.5953898,1.5475609,0.003613488
7584,ANOMALY,3.7768812,2.3433917,0.762753
10688,ANOMALY,2.7451599,2.1344988,0.0071944837
2272,ANOMALY,2.0879998,1.5039368,0.002363638
11353,ANOMALY,3.5544462,2.5982854,0.111482225
7768,ANOMALY,2.4213552,1.2914491,0.06334916
4640,ANOMALY,3.296971,2.3433917,0.82584023
1366,ANOMALY,8.221274,5.989769,2.7704983
9745,ANOMALY,3.4511445,2.296601,0.0480804
8549,ANOMALY,3.0648756,2.3433917,0.84978753
6103,ANOMALY,3.0329072,2.7214367,0.029732373
6773,ANOMALY,2.9216435,1.7488825,0.008623165
5402,ANOMALY,3.8030016,2.3433917,0.7905837
14189,ANOMALY,4.118438,3.8737168,0.25425613
186,ANOMALY,3.7127414,2.4279678,0.093334615
1171,ANOMALY,2.7186456,1.534181,0.025907965
9355,ANOMALY,3.5148692,3.3083744,0.014302111
9952,ANOMALY,3.3626108,2.3433917,0.7810032
14639,ANOMALY,5.259856,4.4190946,0.1841924
1795,ANOMALY,2.6105106,2.1344988,0.008469165
11436,ANOMALY,3.4525418,2.4131324,0.054864448
10071,ANOMALY,3.8989346,2.3433917,0.7066296
14560,ANOMALY,2.3637173,1.6326295,0.0051026726
12502,ANOMALY,2.9023101,2.3433917,0.81166863
5847,ANOMALY,2.4651487,1.4321377,0.04033506
1702,ANOMALY,2.8887725,1.5039368,0.0059798257
2800,ANOMALY,2.537818,1.5475609,0.0034985626
4700,ANOMALY,3.9306185,3.585094,0.21290685
12970,ANOMALY,3.0219972,1.8410299,0.013892632
12557,ANOMALY,5.418894,5.117872,0.16469938
12356,ANOMALY,1.6684918,0.99758375,0.03787908
4888,ANOMALY,3.1706865,1.9764241,0.11050321
10818,ANOMALY,4.2771115,3.0166907,0.3369818
4550,ANOMALY,2.3331919,1.5039368,0.0383568
1396,ANOMALY,1.9701843,1.5039368,0.0022622948
12027,ANOMALY,3.008199,2.3433917,0.7476794
174,ANOMALY,3.0781252,2.3433917,0.74806416
10841,ANOMALY,2.8833084,1.9539942,0.06323942
5191,ANOMALY,4.7857924,4.0497737,0.17394227
6436,ANOMALY,3.054466,2.0683417,0.0038730178
12258,ANOMALY,1.6520967,1.375713,0.036078427
10268,ANOMALY,3.3506036,2.1344988,0.07834685
13019,ANOMALY,6.8823485,5.989769,0.024886893
9727,ANOMALY,3.2219765,2.3433917,0.8082401
14072,ANOMALY,2.609243,1.5039368,0.031213416
2602,ANOMALY,2.9180112,2.4279678,0.02933243
7999,ANOMALY,2.7383196,1.8410299,0.008744932
2134,ANOMALY,8.125941,5.989769,1.0868974
301,ANOMALY,3.2761467,3.0149057,0.02680165
4175,ANOMALY,2.3900783,1.2885258,0.016726997
14514,ANOMALY,2.4562013,1.6812099,0.010209732
2169,ANOMALY,1.9904084,1.0936594,0.0024707122
347,ANOMALY,2.6197271,2.1344988,0.015441229
7498,ANOMALY,2.9030142,1.534181,0.045205742
10488,ANOMALY,2.7168932,1.8248816,0.028418664
4488,ANOMALY,2.3509247,1.7591622,0.006588138
12755,ANOMALY,3.055083,1.7488825,0.013406541
14717,ANOMALY,1.9299963,1.0545521,0.007595674
6825,ANOMALY,3.7876887,2.3433917,0.82338065
13727,ANOMALY,1.9483079,0.99758375,0.026637726
6215,ANOMALY,3.599522,2.9488459,0.10488754
14095,ANOMALY,3.899084,3.132377,0.1827184
12233,ANOMALY,5.8643684,5.5490875,0.26263505
11591,ANOMALY,2.5492923,2.1344988,0.016515514
12498,ANOMALY,3.5598934,3.0149057,0.005641392
14300,ANOMALY,6.788001,5.989769,0.04997506
8042,ANOMALY,3.8205745,2.0758228,0.038169894
1416,ANOMALY,3.3603294,2.7214367,0.035805658
9704,ANOMALY,2.492032,1.2887785,0.037405185
11881,ANOMALY,3.1613262,2.7214367,0.007797882
8197,ANOMALY,3.1428785,2.5982854,0.12570097
12665,ANOMALY,4.5742736,3.5183947,0.10504276
8827,ANOMALY,3.2264981,2.3414683,0.079541445
9206,ANOMALY,2.6728566,1.534181,0.04662715
1350,ANOMALY,4.854368,4.4441514,0.12271191
13604,ANOMALY,3.002624,2.3433917,0.79889065
4840,ANOMALY,4.06365,2.3433917,0.7825091
11429,ANOMALY,3.6849797,2.7214367,0.060771678
13040,ANOMALY,2.9793346,1.5535238,0.030772133
1022,ANOMALY,2.8605115,2.4554417,0.054451533
5558,ANOMALY,2.0259979,1.2423549,0.011157633
13107,ANOMALY,3.121109,2.1360505,0.08023981
11473,ANOMALY,5.548405,4.8560677,0.13046741
577,ANOMALY,3.318522,2.0950627,0.06270972
1336,ANOMALY,3.807617,2.3365273,0.04616483
3844,ANOMALY,3.583666,2.0663946,0.08252479
14494,ANOMALY,3.2572834,2.3433917,0.84111625
1940,ANOMALY,2.2560954,1.0936594,0.049106028
14101,ANOMALY,3.8586416,2.3433917,0.84825224
11318,ANOMALY,2.584601,1.5979764,0.017624395
90,ANOMALY,2.9566257,1.9137869,0.01967483
10244,ANOMALY,4.954072,4.173114,0.1138722
13270,ANOMALY,3.657558,2.3433917,0.7640099
